'ge'li'qu'she'zhi 隔离区设置
'jing'xiang 镜箱
'wei'ju 位居
'lai'ren'zhi'piao 来人支票
'xi'he'ding 烯禾定
'xiang'cheng 相承
'tao'xi'lou 桃西楼
'bao'zheng'jia'ge 保证价格
'yi'qi'bu'shu 一起部署
'dou'gan 豆秆
'xin'jian'nong'cun'zhao'qi'xiang'cun'fu'wu'wang'dian 新建农村沼气乡村服务网点
'pan'zheng 盘整
'hui'jiao'dian 会交点
'xian'shui'guo'ban 县水果办
'sang'tian'niu 桑天牛
'kuai'men'xian 快门线
'bao'zhang'zuo'yong 保障作用
'fan'qie 番茄
'he'wei 禾畏
'zao'hua 早花
'gang'men 肛门
'ming'you'pin'pai'shui'guo'chan'ye 名优品牌水果产业
'tou'xi'tuo 透习脱
'bian'gou 边沟
'si'yong 饲用
'zai'xian 再现
'xiang'ri'kui 向日葵
'zai'ye'ren'kou 在业人口
'hua'fen'biao'zhun 划分标准
'niu'meng 牛虻
'cong'lian 葱莲
'mei'wen 美文
'xing'li'jia 行李架
'li'he'qi'ta'ban 离合器踏板
'huang'men 黄焖
'dang'jiang'zhen 党江镇
'bu'zhi'bu'zao 补植补造
'dou'ya 豆蚜
'mu'chang'zhu 牧场主
'xia'yi'bu'gong'zuo'she'xiang 下一步工作设想
'zui'gao'gong'zi 最高工资
'sheng'gua'zi 生瓜子
'nong'cun'lao'dong'li'zhuan'yi 农村劳动力转移
'shu'wei 数位
'chuang'jian'huo'dong 创建活动
'nong'ji'ju 农机具
'dai'dong'quan'xian'nong'ye'chan'ye'hua'fa'zhan 带动全县农业产业化发展
'pei'chan 赔产
'xing'zheng'tong'zhi'lan 行政通知栏
'zi'yuan'yu'huan'jing'xue'yuan 资源与环境学院
'yi'mai 宜麦
'li'hui'ban'bing 藜灰斑病
'huang'ming 黄螟
'san'dao'chai'hu 三岛柴胡
'bai'mi 白米
'gai'liang'cuo'shi 改良措施
'ji'suan'mei'mu'xue'shu 计算每亩穴数
'duo'zuo'hao'shi 多做好事
'zhen'xiong 镇雄
'shuang'gua'xin'an 双胍辛胺
'ge'ren'wen'ti 个人问题
'biao'zhi 标识
'you'shi'ming'xian 优势明显
'han'dong'zai'hai 寒冻灾害
'jiao'ya'liu'suan'na 焦亚硫酸钠
'shen'shou 伸手
'hu'cong 胡葱
'sheng'zhen'zi 生榛子
'ji'liang'ji 剂量计
'zhou'yuan'ping 周远平
'zhu'sha'ye'man 朱砂叶螨
'jian'cheng'tou'chan'dan'xiang'gong'cheng 建成投产单项工程
'gu'lei'dan'bai'duo'tang 菇类蛋白多糖
'ben'qi'quan'bu'gou'mai'li 本期全部购买力
'bu'gou'quan'mian 不够全面
'jin'tian 今天
'miao'mu'chan'di'jian'yi'yu'jian'kong'guan'li 苗木产地检疫与监控管理
'wan'mu'yi'shang 万亩以上
'ti'gao'chan'pin'zhi'liang 提高产品质量
'tong'ji'ju 统计局
'da'hai'lian 大海鲢
'ba'xian'hua 八仙花
'yi'fu'du'biao'shu 以幅度表述
'ca'xie'zong'dian 擦鞋棕垫
'pei'jia'jie 胚嫁接
'shu'li 树立
'xi'da'cun 西大村
'ke'tiao'shou'qian 可调手钳
'yi'chang'cheng 宜昌橙
'si'xiang'wu'qi 思想武器
'kai'zhan'fu'chi'nong'hu'zhong'yang'xiang'mu'gong'zuo 开展扶持农户种养项目工作
'an'lv'bao 安绿宝
'lv'mei'su 氯霉素
'yin'wen'gu'nong'die 隐纹谷弄蝶
'yi'wei 易位
'che'liang'wan'hao'lv 车辆完好率
'sha'ming'song 杀螟松
'gong'xian'li'liang 贡献力量
'wen'guan'guo 文冠果
'ji'di'sheng'chan'guan'li'shui'ping 基地生产管理水平
'liang'you'gao'chan 粮油高产
'jing'ji'wen'ding 经济稳定
'mo'ji'lian 莫基镰
'can'xue 参学
'dian'zi'gong'cheng'xue 电子工程学
'tian'fen'xing 甜粉型
'tong'feng'jing 通风井
'dui'wu 堆捂
'bei'zi'gu'xing 背子谷型
'hui'ban'bing 灰斑病
'wu'nian 五年
'xiao'yi'tu'chu 效益突出
'ya'zhou'yu'mi'ming 亚洲玉米螟
'lian'gui'shi'tuo'la'ji 链轨式拖拉机
'zhi'fa'da'dui 执法大队
'shi'dian'fa 施点发
'sheng'chan'ren'wu 生产任务
'tiao'jiao 调焦
'dui'liu'lin 对硫磷
'xiang'mu'jian'she'zhun'bei'gong'zuo 项目建设准备工作
'ji'hui 机会
'chang'xu'juan'e 长须卷蛾
'nong'min 农民
'gong'gong'ce'suo 公共厕所
'kang'han'cu'chun'geng'chun'zhong'gong'zuo 抗旱促春耕春种工作
'shen'ru'kai'zhan 深入开展
'ken'shi 啃食
'bao'gan'dao'hu 包干到户
'chang'zu'de'jin'bu 长足的进步
'wai'ji'sheng'wu 外寄生物
'mu'zhi'bu 木质部
'jia'qian 夹钳
'sui'jiang 绥江
'xi'huo 熄火
'xiao'qiu 小丘
'xiang'le'zhu'yi'fang'mian 享乐主义方面
'ling'zhe 领着
'dian'dong'ti'xu'dao 电动剃须刀
'jia'dai 加代
'sai'pao 赛跑
'sheng'huo'huan'jing 生活环境
'shui'cheng 水城
'xian'di'shui'ju 县地税局
'xian'sui 鲜穗
'lu'zhen'hua 卢振华
'yan'ying'an 厌蝇胺
'gong'yin 共印
'li'ta'su 利它素
'lao'chu 捞出
'shu'xue'mo'xing 数学模型
'yang'bi'xian 漾濞县
'jia'duo 甲多
'shu'cai'zhi 蔬菜汁
'ren'zhen'zuo'hao 认真做好
'heng'shi'zhao'pian 横式照片
'lian'he'shou'ge'ji 联合收割机
'kang'chong'yu'zhong 抗虫育种
'zou'du'xue'sheng 走读学生
'chun'geng'fu'wu'gong'zuo'zu 春耕服务工作组
'qiang'li'zeng'chan'su 强力增产素
'zhang'shui 涨水
'dai'ye'ren'kou 待业人口
'guo'fu'huan'tian 过腹还田
'ke'jun'zhuang 克菌壮
'le'si'ling'zan'ding'ming 乐斯灵暂定名
'tiao'feng'yuan'chun 条蜂缘蝽
'zheng'fu'cai'gou 政府采购
'hun'sha'liu 混杀硫
'shang'mian 墒面
'zhong'zhi 种质
'chong'tian'la 冲天辣
'lv'zhou 绿洲
'xian'guo'shui'ju 县国税局
'ye'ming 野螟
'pai'gan 排干
'wan'sui 万穗
'ban'zi 扳子
'pu'tong'hua'ye'bing 普通花叶病
'jian'shou 坚守
'min'zheng'ju 民政局
'ning'meng'shui 柠檬水
'qiang'xiu'ning 羟锈宁
'kang'ti 康体
'shou'huo'qi 收获期
'xuan'ren 选任
'yuan'long'ping 袁隆平
'can'sang'sheng'chan 蚕桑生产
'bai'yu'e 白羽蛾
'xuan'chuan'bu 宣传部
'nong'ye'zhuan'jia 农业专家
'ping'fang'he 平方和
'zong'chan 总产
'qiao'shi'geng'zuo'xi'tong 桥式耕作系统
'bao'ye 苞叶
'diao'cha'biao 调查表
'chen'ying 陈英
'jian'shi'liu'suan'tong 碱式硫酸铜
'xian'chang 现场
'yao'yu 鳐鱼
'hu'die'hua 蝴蝶花
'ju'sha 菊杀
'yi'zhu'xiang'bing 一柱香病
'qu'nian'nian'di'yi'lai 去年年底以来
'da'zhong'bao'zhi 大众报纸
'man'cao'lin 蔓草磷
'bi'qu'nian'tong'qi'zeng'jia 比去年同期增加
'pu'gong'ying 蒲公英
'er'jin'zhi'ma 二进制码
'qu'de 取得
'kong'qi'wu'ran 空气污染
'shi'dian'cun'jian'she 试点村建设
'hong'ai'bing'du'bing 红矮病毒病
'peng'gua'fei 膨瓜肥
'te'xie 特写
'kao'zhong 考种
'han'dai 寒带
'keng'wa 坑洼
'gao'wen'xing 高温型
'dang'wei'yi'shi'gong'zuo'zhi'du 党委议事工作制度
'mai'ya 麦芽
'hua'shan'jie 花山节
'wang'yan'ling 王艳玲
'wo'qu 我区
'yun'nan'da'xue 云南大学
'zhang'jian 张健
'nong'min'pei'xun 农民培训
'sai'fen'huang'long 噻吩磺隆
'tian'ya'chong 田蚜虫
'yi'mian'lin 益棉磷
'xu'mu'ye'sheng'chan 畜牧业生产
'xian'xiang 现象
'yi'suan'su 乙蒜素
'mao'guan'chuan'dao'du 毛管传导度
'tu'di'tui'hua 土地退化
'fan'fu'chang'lian'gong'zuo 反腐倡廉工作
'dao'che'dang 倒车档
'shi'ying'neng'li 适应能力
'deng'shou'duan 等手段
'mi'du'xian 弥渡县
'zhong'duo 众多
'tu'di'zhuan'rang 土地转让
'zhang'yuan'yi 张元意
'jiang'shui 降水
'bing'tian'xie 并填写
'zhong'yang'chang 种羊场
'da'man'tong 哒螨酮
'yin'bu 阴部
'hu'li'pi 狐狸皮
'wo'cao'zhi 喔草酯
'guo'shai 过筛
'yan'fen'shi 烟粉虱
'zhong'gao 中高
'xian'nong'ji'tui'guang'zhan 县农机推广站
'zuo'bao'gao 做报告
'sheng'chan'an'quan 生产安全
'xian'fen'hong'se 鲜粉红色
'ye'feng 叶蜂
'nai'yan'zuo'wu 耐盐作物
'su'zhi 素质
'su'zao'le 塑造了
'dang'chang 当场
'wei'hu 维护
'gua'tu 挂图
'fu'chi'nong'hu 扶持农户
'guo'jia'ming'ling'jin'zhi 国家明令禁止
'xiang'mu'shi'fan'qu 项目示范区
'cao'mu'xi 草木樨
'chang'suo 场所
'cu'jin'nong'cun'neng'yuan'jian'she 促进农村能源建设
'bu'yu'te 不育特
'xiao'zi'li 肖子丽
'jia'ku'bing 荚枯病
'hei'gen 黑根
'mu'cao'ji'di 牧草基地
'di'chong'lin 地虫磷
'fen'xi'ping'yi 分析评议
'chu'dong'che'liang 出动车辆
'jia'wei'yan 甲维盐
'he'neng'ji 核能级
'she'shi'du 摄氏度
'you'xiao'qi 有效期
'miao'zhuang 苗壮
'ji'nai'qi 挤奶器
'yi'ding'cheng'du'shang 一定程度上
'ying'zao'le 营造了
're'chao 热潮
'yi'mei'ling 疫霉灵
'you'xiu'ren'cai 优秀人才
'shuang'qi 霜期
'tian'shu 田鼠
'da'li'shi 大理市
'jin'he'huan'shu 金合欢树
'yin'shi'wen'hua 饮食文化
'gai'zhong 盖种
'shun'xu'xuan'qu 顺序选取
'shan'cha 山茶
'xiang'pei'tao 相配套
'you'miao'qi 幼苗期
'yi'shang 以上
'zu'zhi 组织
'xiao'tai'dan'fei 硝态氮肥
'yi'deng'gong 一等功
'fu'she'dai'dong'neng'li 辐射带动能力
'te'mie'wei 特灭威
'ying'ye'jian'jie'cheng'ben 营业间接成本
'hei'tiao'ai'suo'bing 黑条矮缩病
'duan'shao 煅烧
'zi'xi 自西
'bu'men'jian'guan 部门监管
'nei'he'hang'dao'li'cheng 内河航道里程
'tun'cao 豚草
'huang'hua'yan'cao 黄花烟草
'shi'run'qi'hou 湿润气候
'tiao'wen'ye'ku'bing 条纹叶枯病
'shi'yi'wu'shi'qi 十一五时期
'jing'ju'ling'dao'yan'jiu 经局领导研究
'fa'men 阀门
'he'ge'yang'pin 合格样品
'sha'ming'jing 杀螟腈
'dou'cao'long 豆草隆
'jue'di'sheng 掘地生
'yuan'jiang'ha'ni'zu'yi'zu'dai'zu'zi'zhi'xian 元江哈尼族彝族傣族自治县
'xi'li'zhong 细粒种
'nong'cun'fu'yu'lao'dong'li'feng'fu 农村富余劳动力丰富
'rang'xing 让行
'ju'zi'jiang 桔子酱
'an'guan'su'kong'li 暗管塑孔犁
'yi'xian 胰腺
'lao'bing 痨病
'qiao'chu 巧锄
'xiao'hun 销魂
'mian'bao'xin 面包心
'diao'ke'jia 雕刻家
'pu'tong'che 普通车
'xiao'che 小车
'liu'xian'lin 硫线磷
'fu'shu'ji 副书记
'zheng'ce'cuo'shi 政策措施
'jie'he'bing 结核病
'quan'guo'ren'min'dai'biao'da'hui 全国人民代表大会
'jia'qiang'nong'min'pei'xun 加强农民培训
'nong'ye'fa'zhan'gui'hua 农业发展规划
'qiu'qiang'jun'ye'ban'bing 球腔菌叶斑病
'shui'yu'nong'ye 水域农业
'duan'qi'dai'kuan 短期贷款
'rui'la'jun'su 瑞拉菌素
'luo'huang 落黄
'yu'xing 育性
'da'han 大寒
'she'mu'ju 蛇目菊
'guo'jiang 果酱
'miao'pu 苗圃
'yan'ji'ma 烟蓟马
'nong'yao'fa'gui'pei'xun'ban 农药法规培训班
'bi'fu'yi'cao'ling 吡氟乙草灵
'qi'ta'nong'ye'yong'ju 其他农业用具
'san're'qi 散热器
'jin'wu'cheng 近五成
'fu'pian 负片
'dan'ren 担任
'yan'shi'ye'e 烟实夜蛾
'mei'rong 美容
'shi'pin'zhi'liang'yu'an'quan 食品质量与安全
'tiao'sha'ye'chan 条沙叶蝉
'bi'jing'zhi'lu 必经之路
'sha'zao 沙枣
'shen'lou 渗漏
'xian'jing'ji'zuo'wu'ji'shu'tui'guang'zhan 县经济作物技术推广站
'qing'ling 清零
'xian'ren'zhang 仙人掌
'bu'chong 捕虫
'kai'huan'shan'gou 开环山沟
'wan'dun 万吨
'wen'chan 稳产
'zhu'yao'gong'zuo'qing'kuang 主要工作情况
'fu'chu'zhang 副处长
'shang'jie'bao'zhi 商界报纸
'qi'hou'ban'bing 气候斑病
'ben'qi'yi'shi'xian'de'gou'mai'li 本期已实现的购买力
'xiu'mei'feng'guang 秀美风光
'zhou'cha'sang'zhan 州茶桑站
'mao'guan 毛管
'he'cao'ke 禾草克
'xie'po 斜坡
'guo'jia'an'quan'bu 国家安全部
'tiao'bo 条播
'wu'bing 无病
'zhong'zi 中子
'sui'ji'wu'cha 随机误差
'liu'yan'ban 留言板
'fang'shuang 防霜
'sha'chong'deng 杀虫灯
'zuo'wei'dang'qian'de 作为当前的
'te'cao'ke 特草克
'suo'zhu'zuo 缩株唑
'hong'lv'deng'e 红绿灯峨
'zhi'ming'le'fang'xiang 指明了方向
'mi'mian'lei 米面类
'gong'yang 公羊
'ma'tou'chang'du 码头长度
'lian'she 联社
'gai'shan'nong'cun'sheng'chan'sheng'huo'tiao'jian 改善农村生产生活条件
'xian'shi 鲜食
'yang'fen'fen'jie'xi'shui 养分分解吸水
'zong'li'run 总利润
'cheng'gong'tiao'jie 成功调解
'wan'bao'mei'sui'fu'bing 弯孢霉穗腐病
'bao'feng 保丰
'dang'de'shi'qi'jie'san'zhong'quan'hui'jing'shen 党的十七届三中全会精神
'da'di'tan 大地毯
'huan'bing'zuo'chun 环丙唑醇
'xi'yin'xing'jing'fu'bing 细茵性茎腐病
'du'si'ben 毒丝本
'nong'chang'gong'ren 农场工人
'zhong'geng'guan'li 中耕管理
'di'ju'tang'su 低聚糖素
'yi'ya'dan 抑芽丹
'fei'da 飞达
'ma'tang 马唐
'peng'sha 硼砂
'cha'hei'du'e 茶黑毒蛾
'nong'ye'ji'qi'xi'tong 农业机器系统
'yi'ba'chu 一把锄
'zhe'dai'huang'du'e 折带黄毒蛾
'long'kui 龙葵
'nen'huang'gua 嫩黄瓜
'que'bao'quan'xian'zai'hou'hui'fu'sheng'chan'de'xu'yao 确保全县灾后恢复生产的需要
'hong'ma 红麻
'mei'zi'shu 梅子树
'jia'da'zhi'nong'li'du 加大支农力度
'bi'su'mie 必速灭
'ying'ku'bing 颖枯病
'su'mie'di 速灭敌
'xian'ji'niao'lei 酰基脲类
'jia'huang'long 甲磺隆
'shui'an'qing 水胺氰
'pin'kun'cun 贫困村
'chun'geng'sheng'chan'gong'zuo 春耕生产工作
'er'jia'wu'le'ling 二甲戊乐灵
'bian'ye'bing 变叶病
'wen'jia'bao 温家宝
'quan'zhao'man 全爪螨
'you'tai'jiao 犹太教
'jing'mi'bo'zhong'ji 精密播种机
'shi'hang'dai'kuan 世行贷款
'chang'jian'ji'yuan'chun 长肩棘缘蝽
'gai'suo 该所
'sha'jing 杀井
'chao'di'liang'pen'wu'ji 超低量喷雾机
'cun'mao 村貌
'dang'fei 党费
'si'liao'shi'wu 饲料食物
'you'gui'dian'che 有轨电车
'yuan'di 原地
'tou'deng'da'shi 头等大事
'wen'fa'xue'yuan 文法学院
'liang'zhong'liang'fa 良种良法
'feng'ban'lin 砜拌磷
'lian'zhou'zhen 廉州镇
'nong'ye'shi'yan 农业试验
'bu'zeng 不增
'shi'si'dian'fu'ni'jia 十四点负泥甲
'hou'chuo'ming 后辍名
'dan'he'se'yan'jing 淡褐色眼睛
'nong'ye'gu 农业股
'ji'ben'jian'she'tou'zi'wu'liang'zhi'shu 基本建设投资物量指数
'yuan'zhu'bi 圆珠笔
'yi'xian'jia'an'lin 乙酰甲胺磷
'tan'ju'bing 炭疽病
'kai'men'hong 开门红
'jian'zhu'ji'xie'li'yong'lv 建筑机械利用率
'jian'fu'zhe 肩负着
'jing'e'zuo'he'cao'ling 精噁唑禾草灵
'xiao'di'lao'hu 小地老虎
'bai'mei'bing 白霉病
'bian'yi'cheng'xu 编译程序
'ji'hua'bian'zhi 计划编制
'zhu'miao 株苗
'sui'fei 穗肥
'zhai'xing 窄行
'chang'wu'hui 常务会
'zhi'jie 枝接
'zong'guo'shu 总果数
'tuo'shui 脱水
'ban'gong'shi 办公室
'fa'ya'lv 发芽率
'xiao'mai 小麦
'za'jing 杂粳
'kong'jian'ge'li 空间隔离
'wei'min'wu'shi'qing'lian'xing'xiang 为民务实清廉形象
'shuang'jia'mi 双甲脒
'chen'ji'juan 陈继娟
'ping'jiao'lu'kou 平交路口
'ying'xiang 影响
'a'pu'long 阿普隆
'jin'shu'huang'yang 锦熟黄杨
'sha'chong'huan 杀虫环
'da'jia'hao 大家好
'sai'shu'tong 噻鼠酮
'shou'ke 授课
'wu'liang 武凉
'xiu'he'se 锈褐色
'yu'nong'yue 玉农乐
'chu'cao'mi 除草醚
'dian'feng'yuan'chun 点蜂缘蝽
'nong'ji'gou'zhi'bu'tie 农机购置补贴
'jie'ma'yi'huan'zuo 捷马乙环唑
'dian'kao'xiang 电烤箱
'li'chuan'lun 李传伦
'dan'wei 单位
'bing'bao 冰雹
'nong'ye'lao'dong'sheng'chan'lv 农业劳动生产率
'xia'yi'bu'gong'zuo 下一步工作
'guang'he'tao 光核桃
'ca'chu 擦除
'huo'ke 活棵
'jiao'xue'ri 教学日
'shui'dao'mian'geng'zai'pei 水稻免耕栽培
'luo'ye'guo'shu 落叶果树
'da'bu'fen 大部份
'mei'ke 每克
'ben'qi'wei'shi'xian'de'gou'mai'li 本期未实现的购买力
'jiao'ti 交替
'tiao'guo'suan 调果酸
'yan'zi 盐渍
'neng'wei 能为
'wei'sheng'xing 卫生性
'ji'yin'yuan 基因源
'wen'chuan 汶川
'wu'fu'mao 无稃毛
'zhao'yang'qu 昭阳区
'deng'zheng'fa'liang'xian 等蒸发量线
'qing'zao'shu 青枣树
'an'hua'ni'tan 氨化泥炭
'dai'dong'nong'hu 带动农户
'qi'ta'shi'yong'jun 其他食用菌
'chong'dui 舂碓
'bu'gao 不高
'fan'fu'bai'zhi'du 反腐败制度
'ju'du 剧毒
'qiao'jia 巧家
'fu'wu'zhong'xin 服务中心
'jiao'cha'shuang'bi 交叉双臂
'er'xing'chun 二星蝽
'zi'hua'shou'fen 自花授粉
'hua'sheng'gao'chan'chuang'jian 花生高产创建
'lou'cao'ji 搂草机
'lv'ben'wo'zuo'jian'yi 氯苯肟唑建议
'jia'qiang'nong'yao'can'liu'an'quan'jian'ce 加强农药残留安全检测
'yao'gou 腰沟
'huang'wei'bing 黄萎病
'bing'ji'ling 冰激凌
'dan'zi'ye'zhi'wu 单子叶植物
'bing'hua'ling 病花灵
'kai'chi 开匙
'liang'qian'hai'chong 两迁害虫
'min'zhu'sheng'huo'hui 民主生活会
'nong'ye'sheng'chan'jiu'zai'wu'zi 农业生产救灾物资
'wu'quan 物权
'zai'qi'xin'gao 再企新高
'shang'feng'kou 上风口
'ye'sheng'cai'lei 野生菜类
'you'hao'xing 友好型
'mo'dao 默祷
'tiao'jie 调解
'ji'hua'shu 计划书
'xian'gong'shang'ju 县工商局
'fen'jie 粉蚧
'meng'zhi 萌枝
'dao'chu 刀锄
'nong'cun'lao'dong'li'zhuan'yi'pei'xun'gong'cheng 农村劳动力转移培训工程
'luo'man'zhi 螺螨酯
'cheng'pin 成品
'pu'bian'jiao'di 普遍较低
'zuo'wu'qi'xiang 作物气象
'bang'man 绑蔓
'tuo'suan 脱酸
'hun'lu 混录
'er'shou'nong'ye'ji'xie 二手农业机械
'yuan'zi'neng'xue 原子能学
'ping'jun'shu'zhi'shu 平均数指数
'qian'xing 黔兴
'wo'ju'ling'dao 我局领导
'luo'dao'shi'chu 落到实处
'he'dian'dun'jie 褐点盾蚧
'zhong'chan'di 中产地
'kong'dan 控氮
'yi'shu 已属
'zhong'hua'quan'guo'gui'guo'hua'qiao'lian'he'hui 中华全国归国华侨联合会
'sha'jun'ji 杀菌剂
'zhong'zi'gong'cheng 种子工程
'qu'shi'ci'ji'ji 取食刺激剂
'nong'chan'pin'liu'tong 农产品流通
'tong'pu'jing 统扑净
'dao'chi'ban'mo'chan 稻赤斑沫蝉
'jia'xu 甲戌
'shen'ru'ji'ceng 深入基层
'huan'ju'zhi 环菊酯
'jing'sai'huo'dong 竞赛活动
'ban'han'shi 半旱式
'cu'miao 促苗
'gao'hao'neng 高耗能
'juan'ye 卷叶
'shi'sheng'zhen 实生砧
'shou'gong 手工
'xin'yi'jie 新一届
'shi'pin'yao'pin'jian'du'guan'li'ju 食品药品监督管理局
'ke'shi'xing 可湿性
'bai'shu 柏树
'fu'xian'jin 付现金
'hong'hua'shi'ying 红花实蝇
'wu'huan'long 戊环隆
'zong'tiao'shu 总条数
'you'le'de 优乐得
'dao'tong'shui'ming 稻筒水螟
'yi'shi 意识
'fen'qi'chang'fu 分期偿付
'yang'zhi'ye'ji'xie 养殖业机械
'wan'cheng'ji'hua'ren'wu'de 完成计划任务的
'chi'dao'qi'hou 赤道气候
'zao'zao'zuo'wu 早造作物
'kang'nai'xin 康乃馨
'sheng'wu'jian 生物碱
'jin'zhan 仅占
'deng'dai'shi'jian 等待时间
'xian'ding'jia'ge 限定价格
'hui'tou'kan 回头看
'dang'yuan'de 党员的
'luo'mu 螺母
'qian'geng 浅耕
'shan'xiu'wen 苫秀文
'you'huang'long 油磺隆
'tu'di'guo'you'hua 土地国有化
'luo'xiao'ling 罗小玲
'yi'wan'cheng 已完成
'chong'ji'tu 冲积土
'shao'zi 苕子
'shi'ke'li'fei'ji 施颗粒肥机
'xian'zhang'ban'gong'hui'yi'ji'yao 县长办公会议纪要
'xin'gen 新根
'can'che 餐车
'yi'yu 已于
'cha'cai'xiao'nang 茶材小囊
'guang'he'xi'jun 光合细菌
'liu'shan 柳杉
'huang'shui'xian 黄水仙
'mo'xing'rui 莫兴瑞
'ding'gen'shui 定根水
'ji'guan'hua 鸡冠花
'cha'bai'xing'bing 茶白星病
'guang'ke 光壳
'jian'yan'jian'yi 检验检疫
'sai'jin'gui 鳃金龟
'su'yuan'wei 苏渊卫
'feng'yu'jian'cheng 风雨兼程
'meng'ya'qi 萌芽期
'bing'que'man'te 并炔螨特
'dang'qun'guan'xi 党群关系
'da'li'jia'qiang 大力加强
'jing'jie'cai 茎芥菜
'shou'wan 手腕
'xin'xi'gong'cheng 信息工程
'jia'shu 荚数
'zuo'wu'qi'yuan 作物起源
'xiu'zhi'dao 修枝刀
'ying'fa 应发
'xin'fang'gong'zuo 信访工作
'hua'he'wu 化合物
'dao'nie'huan 稻蘖欢
'fen'wei 氛围
'ren'kou'nian'ling'jin'zi'ta 人口年龄金字塔
'shu'jian'chao 舒建超
'tian'jian'di'tou 田间地头
'gong'yi 工艺
'shang'gen 伤根
'xian'dai'nong'ye'fa'zhan'ti'xi 现代农业发展体系
'ji'hua'yu'fang'wei'xiu'zhi 计划预防维修制
'liang'mian'yi'bu 两免一补
'yu'ren'wo'shou 与人握手
'zhua'zhu 抓住
'kao'ru'zhu 烤乳猪
'wei'zhi'dao 为指导
'ying'hua 颖花
'shen'xiao'xia 沈晓霞
'jin'yin'mu 金银木
'dang'jiang'jiu'po 党江九坡
'quan'sui 全穗
'ye'xing 叶形
'hen'zhua'luo'shi 狠抓落实
'qin'dan 禽蛋
'ye'sheng'dao 野生稻
'yuan'qiu'xing 圆球形
'dao'he'jing 稻禾净
'gong'gong'che'liang 公共车辆
'tie'mie'ke 铁灭克
'xian'dai'nong'ye'da'peng 现代农业大棚
'li'lun'lian'xi'shi'ji 理论联系实际
'nong'ye'qi'xiang'xun'bao 农业气象旬报
'qian'jiu 前久
'chu'cao'ji'hun'ji 除草剂混剂
'du'qi 肚脐
'han'shou 函授
'jing'shen 景深
'tong'fen'yi'wu'xian'xiang 同分异物现象
'di'jia 敌甲
'ji'cai 荠菜
'fan'ying 反映
'cao'ping 草坪
'hua'sheng'chan'ye 花生产业
'qian'shui 浅水
'lian'ou 莲藕
'si'xiang'guan'nian 思想观念
'zong'ti 总体
'he'ai'shi 禾爱施
'quan'guo'nong'ye'zong'he'zhi'fa'xian'jin'dan'wei 全国农业综合执法先进单位
'tuo'la'ji'jia'shi 拖拉机驾驶
'qiao'mu 乔木
'hui'fu'fei 恢复肥
'xiang'zheng 相争
'ben'tian 本田
'ban'ma 斑马
'gen'liu'jun'ji 根瘤菌剂
'lian'xi'dian 联系点
'lin'mai 临麦
'sheng'cha'ye'chan'ye'ban'gong'shi 省茶叶产业办公室
'fan'che 翻车
'ji'you'jun 鸡油菌
'hong'yuan'jie 红圆蚧
'hao'li'da 好立达
'yin'lian'hua 银莲花
'hai'bao 海豹
'niu'gan'jun 牛干菌
'lao'shu'gua 老鼠瓜
'xiang'ying'zheng'hui 相映争辉
'zi'jin'lai'yuan 资金来源
'qi'dong 起动
'bo'yin'yuan 播音员
'dao'tian 到田
'xian'dai'hua'shu'cai'da'peng'jian'she'xiang'mu 现代化蔬菜大棚建设项目
'ge'chu'jiao'men 革除教门
'ji'ji'xing'dong 积极行动
'kong'jing'gui 孔径规
'jia'shuang'ling'meng'xin 甲霜灵锰锌
'shu'cai'yuan'yi 蔬菜园艺
'li'jia 李家
'yin'jin 引进
'zong'tang'shu 总塘数
'bao'pian 苞片
'nong'zuo'wu'chan'liang'chou'yang'diao'cha 农作物产量抽样调查
'mang'ying 芒蝇
'fei'da'hong 飞达红
'gong'si'ji'di'nong'hu 公司基地农户
'mie'cao'meng 灭草猛
'qing'wu'ju'zhi 氰戊菊酯
'jing'ji'zheng'ce 经济政策
'da'zhu'kui 大竺葵
'ming'nian'gong'zuo'she'xiang 明年工作设想
'yun'nan'nong'ye 云南农业
'huang'qu'mei'bing 黄曲霉病
'si'liao'jia'gong'she'bei 饲料加工设备
'jie'shi'lv 结实率
'zhen'ya'qi 镇压器
'ke'ji'yan'jiu 科技研究
'nai'an'lin 萘氨磷
'zhan'yuan 站员
'nong'ye'ju 农业局
'er'yuan'xian 洱源县
'shun'li 顺利
'shen'lan'se 深蓝色
'mi'qie'lian'xi'qun'zhong 密切联系群众
'yu'mi'xin'pin'zhong 玉米新品种
'xin'pin'zhong'yin'jin'tui'guang 新品种引进推广
'yin'zhuang 银装
'jing'ying'fei'yong 经营费用
'qi'ji 契机
'jia'cai'se 假彩色
'wei'lai'xue'jia 未来学家
'mo'jiang 墨江
'tian'jian'shi'yan 田间试验
'wu'xing'di'er'dai 无性第二代
'bao'nang'xian'chong'bing 胞囊线虫病
'tui'guang'zhan 推广站
'jun'bing 菌柄
'yu'mao 羽毛
'niu'pai 牛排
'cu'jin'nong'min'shou'ru'de'zeng'zhang 促进农民收入的增长
'cong'shi 从事
'bei'jing'song 倍腈松
'si'liao'zuo'wu 饲料作物
'si'hu'tong 死胡同
'la'zhi 拉直
'dong'li'ji'xie'zong'neng'li 动力机械总能力
'zhong'dian'gong'zuo 重点工作
'xian'lv'se 鲜绿色
'nong'jia'fei'ji'zhi 农家肥积制
'ru'xia'tiao'zheng 如下调整
'zhi'fa 直发
