'a'luo'jin 阿罗津
'te'le'zhi 特乐酯
'te'mie'wei 特灭威
'te'pu 特普
'te'pu'dan 特谱丹
'te'pu'zuo 特普唑
'ti'mie'wei 涕灭威
'tian'an 田安
'tian'cai'an 甜菜安
'tian'cai'ning 甜菜宁
'tian'de'ji 田得济
'tian'le'lin 田乐磷
'tian'mao 田毛
'tiao'bi'niao 调吡脲
'tiao'guo'suan 调果酸
'tiao'huan'suan 调环酸
'tiao'jie'lin 调节磷
'tiao'mi'chun 调嘧醇
'ting'ju'zhi 烃菊酯
'tong'da'shi 铜大师
'tong'jun'zuo 同菌唑
'tu'cao'an 荼草胺
'tu'jun'xiao 土菌消
'tu'you'an 屠莠胺
'tuo'bu'jin 托布津
'tuo'guo'gui 脱果硅
'tuo'ye'lin 脱叶磷
'wan'ling 万灵
'wan'mei'ling 万霉灵
'wan'ning 万宁
'wang'tong 王铜
'wei'ba 威霸
'wei'bai'mu 威百亩
'wei'er'lin 威尔磷
'wei'jun'lin 威菌磷
'wei'li'shi 维立士
'wei'miao 维苗
'wei'nong 威农
'wen'ying'mi 蚊蝇醚
'wo'cao'an 肟草安
'wo'cao'tong 肟草酮
'wo'cao'zhi 喔草酯
'wo'luo'sha 蜗螺杀
'wo'man'zhi 肟螨酯
'wo'niu'san 蜗牛散
'wu'fei'jing 芜飞净
'wu'huan'zuo 戊环唑
'wu'ju'zhi 戊菊酯
'wu'jun'long 戊菌隆
'wu'jun'zuo 戊菌唑
'wu'lv'fen 五氯酚
'wu'xiao'fen 戊硝酚
'wu'zuo'chun 戊唑醇
'xi'cao'jing 西草净
'xi'cao'tong 烯草酮
'xi'he'ding 烯禾定
'xi'ma'jin 西玛津
'xi'xiao'zuo 烯效唑
'xi'zuo'chun 烯唑醇
'xian'an'lin 酰胺磷
'xian'an'zuo 酰胺唑
'xian'chong'lin 线虫磷
'xian'chu 闲锄
'xian'man'lin 线螨磷
'xian'nong'he'cao'na 闲农禾草拿
'xian'ren 闲人
'xiao'chu'tou 小锄头
'xiao'di'ti 硝滴涕
'xiao'man'duo 消螨多
'xiao'man'fen 消螨粉
'xiao'man'pu 消螨普
'xiao'man'tong 消螨通
'xie'chu 歇锄
'xin'jin'li'duo 新金粒多
'xin'liu'lin 辛硫磷
'xin'shuang'cao'ke 新双草克
'xin'wan'sheng 新万生
'xin'yan'ling 新燕灵
'xin'zuo'tong 辛唑酮
'xing'mian'bao 兴棉宝
'xing'tai'su 形态素
'xiu'ben'jing 溴苯腈
'xiu'di'long 溴敌隆
'xiu'fen'wo 溴酚肟
'xiu'gu'long 秀谷隆
'xiu'jia'wan 溴甲烷
'xiu'jun'qing 溴菌清
'xiu'liu'lin 溴硫磷
'xiu'lv'dan 溴氯丹
'xiu'man'zhi 溴螨酯
'xiu'shu'an 溴鼠胺
'xiu'xian 休闲
'xiu'xiao'chun 溴硝醇
'xun'ju'zhi 熏菊酯
'ya'man'di 蚜螨敌
'ya'meng'si 芽萌斯
'ya'mie'duo 蚜灭多
'ya'shen'suan 亚砷酸
'ya'shi'jing 蚜虱净
'yan'jian 烟碱
'yan'mai'di 燕麦敌
'yan'mai'ling 燕麦灵
'yan'mai'zhi 燕麦酯
'yang'jun'an 扬菌胺
'ye'fei'san 叶飞散
'ye'ku'jing 叶枯净
'ye'ku'ling 叶枯灵
'ye'ku'san 叶枯散
'ye'lv'bao 叶绿宝
'ye'mai'wei 野麦畏
'ye'tian'miao'le 野田苗乐
'ye'xiu'te 叶锈特
'yi'ba'chu 一把锄
'yi'ba'shou 一把手
'yi'ban'lin 乙拌磷
'yi'ban'lin 异拌磷
'yi'bi'lin 伊比磷
'yi'bian'jing 一遍净
'yi'bing'lin 异丙磷
'yi'bing'long 异丙隆
'yi'bing'wei 异丙威
'yi'cao'an 乙草胺
'yi'cao'ding 乙草丁
'yi'cao'lin 抑草磷
'yi'cao'peng 抑草蓬
'yi'chong'ling 抑虫灵
'yi'di'ti 乙滴涕
'yi'du'zuo 抑毒唑
'yi'e'long 异恶隆
'yi'feng'lin 异砜磷
'yi'guo 益果
'yi'jun'li 乙菌利
'yi'jun'niao 异菌脲
'yi'kui'dan 异喹丹
'yi'liu'lin 乙硫磷
'yi'lv'lin 异氯磷
'yi'mei'an 抑霉胺
'yi'mei'ling 疫霉灵
'yi'mei'wei 乙霉威
'yi'mei'wei 抑霉威
'yi'mi'fen 乙嘧酚
'yi'mian'lin 益棉磷
'yi'shi'jing 抑食肼
'yi'shou'feng 益收丰
'yi'suan'su 乙蒜素
'yi'suo'wei 异索威
'yi'tai'bao 抑太保
'yi'wen'bi 伊蚊避
'yi'xi'gui 乙烯硅
'yi'xi'li 乙烯利
'yi'xi'lin 异吸磷
'yi'xian'an 乙酰胺
'yi'ya'dan 抑芽丹
'yi'ya'mi 抑芽醚
'yi'ya'zuo 抑芽唑
'yi'yang'long 乙氧隆
'yin'chong'wei 茚虫威
'yin'shu'zhi 吲熟酯
'ying'du'lin 蝇毒磷
'you'bu'sheng 莠不生
'you'chong'xi 诱虫烯
'you'da 友达
'you'mie'jing 莠灭净
'you'neng'fen 优能芬
'you'qu'jin 莠去津
'you'ying'tong 诱蝇酮
'yu'dou'hui'shou 玉豆汇收
'yu'feng 雨丰
'yu'xiao 玉笑
'yun'cao'ping 允草平
'zeng'chan'an 增产胺
'zeng'chan'ling 增产灵
'zeng'gan'lin 增甘磷
'zeng'si'su 增丝素
'zeng'tang'an 增糖胺
'zeng'tang'zhi 增糖酯
'zeng'xiao'an 增效胺
'zeng'xiao'ding 增效丁
'zeng'xiao'feng 增效砜
'zeng'xiao'huan 增效环
'zeng'xiao'lin 增效磷
'zeng'xiao'mi 增效醚
'zeng'xiao'quan 增效醛
'zeng'xiao'san 增效散
'zeng'xiao'te 增效特
'zeng'xiao'zhi 增效酯
'zheng'xing'su 正形素
'zhi'chu 智锄
'zhi'jun'an 酯菌胺
'zhi'ma'ling 芝麻灵
'zhi'ma'su 芝麻素
'zhi'ming'lin 治螟磷
'zhi'wei'ling 治萎灵
'zhi'xian'lin 治线磷
'zhong'ding'tong 仲丁通
'zhong'hua'ke'wei 中化克苇
'zhong'yi'zhi 种衣酯
'zhuang'mian'dan 壮棉丹
'zhun'chu 准锄
'zi'ke'wei 兹克威
'zuo'guo'lin 座果磷
'zuo'jun'qing 唑菌清
'zuo'man'zhi 唑螨酯
'zuo'wen'tong 唑瘟酮
'zuo'ya'wei 唑蚜威
