'a'er'tai'gou'wa'hua 阿尔泰狗哇花
'gong'zhen 共枕
'gong'zhu 公猪
'gong'zi'dan 工资单
'gong'zi'zhi'shu 工资指数
'gong'zuo 工作
'gong'zuo'cun'chu'qi 工作存储器
'gong'zuo'fu 工作服
'gong'zuo'ji'lv 工作纪律
'gong'zuo'liang'da 工作量大
'gong'zuo'ren'yuan 工作人员
'gong'zuo'ri 工作日
'gong'zuo'shi'jian 工作时间
'gong'zuo'si'lu 工作思路
'gong'zuo'wen'jian 工作文件
'gong'zuo'xiao'zu 工作小组
'gong'zuo'zha'shi 工作扎实
'gong'zuo'zhe 工作者
'gou'chang 沟长
'gou'chi'e 钩翅娥
'gou'gu 枸骨
'gou'huo'wan'hui 篝火晚会
'gou'jin'zhen'chong 沟金针虫
'gou'kuan 沟宽
'gou'lian 钩镰
'gou'lou'bing 佝偻病
'gou'mai'li 购买力
'gou'nei 沟内
'gou'ni 沟泥
'gou'ping 沟平
'gou'qi 枸杞
'gou'shen 沟深
'gou'shi 沟施
'gou'wei'cao 狗尾草
'gou'zhi 沟直
'gu'ban'pi'nang 谷斑皮囊
'gu'cang 谷仓
'gu'cha 古刹
'gu'cheng 古城
'gu'cheng'qu 古城区
'gu'ci'sheng'zhi 孤雌生殖
'gu'dan 固氮
'gu'dan'jun 固氮菌
'gu'dan'neng'li 固氮能力
'gu'dao 古道
'gu'di 谷地
'gu'ding'cheng'ben 固定成本
'gu'ding'gong 固定工
'gu'ding'jia'ge 固定价格
'gu'ding'mo'xing 固定模型
'gu'ding'zhai'wu 固定债务
'gu'ding'zi'chan 固定资产
'gu'du 谷蠹
'gu'er'yuan 孤儿院
'gu'ge 骨骼
'gu'huang 谷黄
'gu'jia'dan 估价单
'gu'jia'fa'piao 估价发票
'gu'jian'zhu 古建筑
'gu'jian'zhu'wen'wu 古建筑文物
'gu'ke 古柯
'gu'ke'fen'li 谷壳分离
'gu'ku'bing 谷枯病
'gu'lan'bu'jia 谷婪步甲
'gu'lan'se 钴蓝色
'gu'lei 菇蕾
'gu'li 谷粒
'gu'li 鼓粒
'gu'li'fei 鼓粒肥
'gu'li'shou'ru 股利收入
'gu'lian'ti 菇连体
'gu'liang'cang 谷粮仓
'gu'lin'ban'ye'jia 谷鳞斑叶甲
'gu'mian'jia'ge 股面价格
'gu'pen 骨盆
'gu'piao'chi'you'ren 股票持有人
'gu'piao'jiao'yi'suo 股票交易所
'gu'piao'jing'ji'ren 股票经纪人
'gu'piao'shi'chang 股票市场
'gu'piao'tou'zi 股票投资
'gu'shu 古树
'gu'shui'biao'zhun 估税标准
'gu'ti 菇体
'gu'ting'hua 孤挺花
'gu'tu 故土
'gu'wen'chang 谷文昌
'gu'wen'wei'yuan'hui 顾问委员会
'gu'wu 谷物
'gu'xi'yi 古蜥蜴
'gu'xiang 谷象
'gu'xiang 故乡
'gu'xiang'fang'she'mian'yi'fen'xi 固相放射免疫分析
'gu'yong'gong'ren 雇佣工人
'gu'yu 谷雨
'gu'zhi 估值
'gu'zhu 雇主
'gu'zi'fu'ni'jia 谷子负泥甲
'gu'zi'se 古紫色
'gua'fen'ji 刮粪机
'gua'feng'ling 瓜丰灵
'gua'guo'lv 挂果率
'gua'jie 挂接
'gua'liang 挂晾
'gua'mian 挂面
'gua'shi'xing 寡食性
'gua'tu 挂图
'guan'bao 官报
'guan'ceng 冠层
'guan'cha'yuan 观察员
'guan'cheng 管程
'guan'dao'gong 管道工
'guan'dao'ji'gong 管道技工
'guan'du'qu 官渡区
'guan'fu'bing 冠腐病
'guan'gai'nong'ye 灌溉农业
'guan'gai'shui'zhi'biao'zhun 灌溉水质标准
'guan'gai'tiao'jian 灌溉条件
'guan'gong'wei 关工委
'guan'jian'ma 关键码
'guan'jian'shi'qi 关键时期
'guan'jiang'qi 灌浆期
'guan'jie 冠接
'guan'jie'yan 关节炎
'guan'ju'hui 观剧会
'guan'li'fei'yong 管理费用
'guan'li'suo 管理所
'guan'li'wei'sheng 管理卫生
'guan'qian'zi 管钳子
'guan'qu 灌渠
'guan'shang'yuan'yi 观赏园艺
'guan'shui 管水
'guan'tou 灌透
'guan'wang 管网
'guan'yin'dian 观音殿
'guan'zhi'jing'ji 管制经济
'guang'bo'dian'shi'ju 广播电视局
'guang'bu'chang'dian 光补偿点
'guang'da'nong'min 广大农民
'guang'da'nong'min'qun'zhong 广大农民群众
'guang'dian'guan 光电管
'guang'dong 广东
'guang'fu'yue'du'ji 光符阅读机
'guang'he 光合
'guang'he'qiang'du 光合强度
'guang'he'tao 光核桃
'guang'he'xi'jun 光合细菌
'guang'he'you'xiao'fu'she 光合有效辐射
'guang'he'zuo'yong 光合作用
'guang'jian'xing'tian'niu 光肩星天牛
'guang'jiao'jing'tou 广角镜头
'guang'ke 光壳
'guang'ke'xing 光壳型
'guang'lang 桄榔
'guang'nan 广南
'guang'nan'xian 广南县
'guang'neng'li'yong'lv 光能利用率
'guang'pu'ce'liang 光谱测量
'guang'pu'xin'xi 光谱信息
'guang'quan 光圈
'guang'sao'miao'qi 光扫描器
'guang'zhao'chu'li 光照处理
'guang'zhao'qiang'du 光照强度
'guang'zhou'qi'xian'xiang 光周期现象
'gui'bei'tian'niu 龟背天牛
'gui'cang 归仓
'gui'chao 桂朝
'gui'chou 癸丑
'gui'hai 癸亥
'gui'hua 桂花
'gui'hua'bian'zhi 规划编制
'gui'hua'tu 规划图
'gui'lian'tian'e 鬼脸天蛾
'gui'mao 癸卯
'gui'mo'hua 规模化
'gui'si 癸巳
'gui'suan 硅酸
'gui'suan'xi'jun 硅酸细菌
'gui'wei 癸未
'gui'xia 跪下
'gui'you 癸酉
'gui'yu 鲑鱼
'gui'zhang'zhi'du 规章制度
'gui'zi'jiang 鬼子姜
'gun'dong 滚动
'gun'ya'qi 滚压器
'guo'cai'lei'shu'cai 果菜类蔬菜
'guo'chi 过迟
'guo'dao 过道
'guo'dao 国道
'guo'dong 果冻
'guo'fang'bu 国防部
'guo'gan 过干
'guo'gan 果干
'guo'hu 过户
'guo'huai 国槐
'guo'ji'dan'wei 国际单位
'guo'ji'jian'yi 国际检疫
'guo'ji'mao'yi 国际贸易
'guo'ji'xin'wen'xie'hui 国际新闻协会
'guo'jia 果荚
'guo'jia'an'quan'bu 国家安全部
'guo'jia'fa'zhan'he'gai'ge'wei'yuan'hui 国家发展和改革委员会
'guo'jia'gong'wu'yuan 国家公务员
'guo'jia'ji 国家级
'guo'jia'min'zu'shi'wu'wei'yuan'hui 国家民族事务委员会
'guo'jia'ren'kou'he'ji'hua'sheng'yu'wei'yuan'hui 国家人口和计划生育委员会
'guo'jia'zhong'dian'feng'jing'ming'sheng'qu 国家重点风景名胜区
'guo'jia'zhu'xi 国家主席
'guo'jiang 果酱
'guo'jie'lou 过街楼
'guo'jiu 果酒
'guo'ke 果壳
'guo'liang'shi'wu 过量食物
'guo'lu'fei 过路费
'guo'lv 过滤
'guo'mi 过密
'guo'mi'zhi 过密枝
'guo'mian 果面
'guo'min'shou'ru 国民收入
'guo'mu'shu 果木树
'guo'nei'mao'yi 国内贸易
'guo'nei'shi'chang 国内市场
'guo'nong 果农
'guo'qian'ying 果潜蝇
'guo'rou'yin'liao 果肉饮料
'guo'shai 过筛
'guo'shao 过少
'guo'shi 过湿
'guo'shi'zhi'gan 果实直感
'guo'shu 过熟
'guo'shu 果数
'guo'shu'zai'pei 果树栽培
'guo'shui'ju 国税局
'guo'tu'zi'yuan 国土资源
'guo'tu'zi'yuan'bu 国土资源部
'guo'tu'zi'yuan'ju 国土资源局
'guo'wan 过晚
'guo'wu'wei'yuan 国务委员
'guo'xi 过稀
'guo'xing 果型
'guo'you'gong'lu 国有公路
'guo'zhai'xiang'mu 国债项目
'guo'zhai'zi'jin 国债资金
'ha'mi'gua 哈密瓜
'hai'an 海岸
'hai'ba'gao'du 海拔高度
'hai'bao 海豹
'hai'dai 海带
'hai'dan 海胆
'hai'dao'mian 海岛棉
'hai'dei 还得
'hai'diao 海鲷
'hai'gui 海龟
'hai'he 海禾
'hai'jiao 海角
'hai'lu'feng 海陆风
'hai'ma 海马
'hai'mian 海绵
'hai'miao 还苗
'hai'miao'qi 还苗期
'hai'tan 海滩
'hai'tang'hua 海棠花
'hai'tian 还田
'hai'tu 海图
'hai'wai 海外
'hai'wan 海湾
'hai'xiang 海象
'hai'yang'he'liu 海洋河流
'hai'yang'xue 海洋学
'hai'zhen 海震
'hai'zi 海子
'han'chao 寒潮
'han'chuang'yu'yang 旱床育秧
'han'dai 寒带
'han'di'nong'ye 旱地农业
'han'gong 焊工
'han'guan 涵管
'han'jin'lian 旱金莲
'han'liang 旱粮
'han'liang'shui'jiao 旱粮水浇
'han'liang'zu 旱粮组
'han'lu'feng 寒露风
'han'shui'liang 含水量
'han'tian 旱田
'han'yu 旱育
'han'yu'bao'mu 旱育保姆
'han'yu'yang 旱育秧
'han'zuo'nong'ye 旱作农业
'hang'jian 行间
'hang'jian'ju 行间距
'hang'jian'zhong'geng'ji 行间中耕机
'hang'ju 行距
'hang'kong'xiang'pian 航空相片
'hang'pai 航拍
'hao'fei 耗费
'hao'gan'fu'gai 蒿秆覆盖
'hao'gong 毫公
'hao'gong'xing 毫公型
'hao'hua'qiao'che 豪华桥车
'hao'mie'dan 好灭丹
'hao'qi'xing 好气性
'hao'shui 耗水
'hao'shui'liang 耗水量
'hao'wai 号外
'hao'wei'miao 毫微秒
'hao'zhu 豪猪
'he'an 河岸
'he'ba 河坝
'he'ba'yang'yu 河坝洋芋
'he'ban'bing 褐斑病
'he'bang'xiang'zheng'yu'weng'de'li 鹤蚌相争渔翁得利
'he'bao'dan 荷包蛋
'he'bao'mu'dan 荷包牡丹
'he'ben'ke 禾本科
'he'bian'lv'ci'e 褐边绿刺蛾
'he'bian'ming 褐边螟
'he'bing'zhai'wu 合并债务
'he'cheng'kong'jing'lei'da 合成孔径雷达
'he'cheng'wu 合成物
'he'cheng'zuo'yong 合成作用
'he'chuang 河床
'he'ci'gong'zhen 核磁共振
'he'dao 河道
'he'dian'dun'jie 褐点盾蚧
'he'fa'hun'yin 合法婚姻
'he'fei'shi 褐飞虱
'he'gan'suan 核苷酸
'he'gu 河谷
'he'gu'bao'nang'xian'chong'bing 禾谷胞囊线虫病
'he'gu'lian'dao'jun'bing 禾谷镰刀菌病
'he'guo'qiang 贺国强
'he'hong'se 褐红色
'he'ji'ma 禾蓟马
'he'ji'shu 核技术
'he'jin 合金
'he'kou 河口
'he'kou'xian 河口县
'he'kou'yao'zu'zi'zhi'xian 河口瑶族自治县
'he'kun 禾捆
'he'kun'dui 禾捆堆
'he'lan'dou 荷兰豆
'he'lan'ju 荷兰菊
'he'li 河狸
'he'li'mi'zhi 合理密植
'he'lie'bian 核裂变
'he'liu'duan'mian 河流断面
'he'ma 河马
'he'men'kou 河门口
'he'nai'si 禾耐斯
'he'neng'ji 核能级
'he'ni 河泥
'he'pan'jun'jing'fu'bing 核盘菌茎腐病
'he'ping 何平
'he'qing 鹤庆
'he'qing'xian 鹤庆县
'he'qu 河曲
'he'rong'jie 核溶解
'he'ru'jiao 核乳胶
'he'se 褐色
'he'sha 河沙
'he'shang'zhuang 和尚庄
'he'shi'feng'xian 何氏凤仙
'he'shui'meng'zhang 河水猛涨
'he'suan'mei 核酸酶
'he'tan'di 河滩地
'he'tao 核桃
'he'tao'shu 核桃树
'he'tian'niu 褐天牛
'he'tu 褐土
'he'tun 河豚
'he'wen'jin'zhen'chong 褐纹金针虫
'he'xi 合系
'he'xie'she'hui 和谐社会
'he'xin'jia'ting 核心家庭
'he'xin'jing'qu 核心景区
'he'xin'qu 核心区
'he'xiong'xing'bu'yu'xi 核雄性不育系
'he'yi'zhi 核移植
'he'yu'yan 褐雨燕
'he'yuan'hu 河源湖
'he'zhi'hu'zuo 核质互作
'he'zi'liu'e 诃子瘤蛾
'he'zuo'nong'chang 合作农场
'he'zuo'yi'liao 合作医疗
'he'zuo'zhe 合作者
'hei'ba'bing 黑疤病
'hei'ban'bing 黑斑病
'hei'chi'tu'bai'yi 黑翅土白蚁
'hei'ci'fen'shi 黑刺粉虱
'hei'ci'li 黑刺李
'hei'cong'hua'mei'gen'fu'bing 黑葱花霉根腐病
'hei'dian'yin'wen'ye'e 黑点银纹夜蛾
'hei'dou'bing 黑痘病
'hei'e'guang'ye'jia 黑额光叶甲
'hei'fen'bing 黑粉病
'hei'fen'jun 黑粉菌
'hei'fen'shi 黑粉虱
'hei'feng'ye'jia 黑缝叶甲
'hei'fu'bing 黑腐病
'hei'gen 黑根
'hei'gu 黑谷
'hei'gu'xing 黑谷型
'hei'jie'bing 黑节病
'hei'jing'bing 黑胫病
'hei'long'jiang'jian'hui'xiang 黑龙江简喙象
'hei'mai 黑麦
'hei'mei 黑莓
'hei'mu'er 黑木耳
'hei'pi'du 黑皮蠹
'hei'qian'ying 黑潜蝇
'hei'qu'mei'bing 黑曲霉病
'hei'rong'jin'gui 黑绒金龟
'hei'se'zhe'gui 黑色蔗龟
'hei'shan'yang 黑山羊
'hei'shi 黑市
'hei'shu 黑薯
'hei'shu'bing 黑束病
'hei'sui'bing 黑穗病
'hei'tiao'ai'suo'bing 黑条矮缩病
'hei'wei'ye'chan 黑尾叶蝉
'hei'wen'fen'die 黑纹粉蝶
'hei'xing'xing 黑猩猩
'hei'yan'jing 黑眼睛
'hei'yi 黑彝
'hei'yi'zu 黑彝族
'hei'ying'bing 黑颖病
'hei'yu 黑鱼
'hei'yuan 黑鸢
'hei'zhi'bing 黑痣病
'hei'zu'hei'shou'gua 黑足黑守瓜
'hen'kuai 很快
'hen'xia'gong'fu 狠下功夫
'hen'zhua'luo'shi 狠抓落实
'heng'jing 横径
'heng'shi'zhao'pian 横式照片
'heng'wen'cai'chun 横纹菜蝽
'hong'ai'bing'du'bing 红矮病毒病
'hong'ban'bing 红斑病
'hong'bei'an'yuan'chun 红背安缘蝽
'hong'cha 红茶
'hong'cheng 宏成
'hong'cheng 红橙
'hong'cu'li 红醋栗
'hong'dan 红单
'hong'dong 轰动
'hong'dou'shan 红豆杉
'hong'dou'yue'ju 红豆越桔
'hong'fen'jie 红粉蚧
'hong'gan 烘干
'hong'he 红河
'hong'he'ha'ni'zu'yi'zu'zi'zhi'zhou 红河哈尼族彝族自治州
'hong'he'se 红褐色
'hong'he'xian 红河县
'hong'he'zhou 红河州
'hong'hua'cai'dou 红花菜豆
'hong'hua'shi'ying 红花实蝇
'hong'hua'zi'you 红花籽油
'hong'hua'zuo'jiang'cao 红花酢浆草
'hong'la'jie 红蜡蚧
'hong'la'jie 红蜡阶
'hong'li 红利
'hong'luo'you 红螺疣
'hong'lv'deng 红绿灯
'hong'lv'deng'e 红绿灯峨
'hong'ma 红麻
'hong'pi 红皮
'hong'pu'tao'jiu 红葡萄酒
'hong'qing 烘青
'hong'rang 红壤
'hong'se'gen'fu'bing 红色根腐病
'hong'se'yuan'xing'biao'zhi'pai 红色圆形标志牌
'hong'shan 红杉
'hong'shu 红树
'hong'shui 洪水
'hong'sun 红隼
'hong'ta 红塔
'hong'ta'qu 红塔区
'hong'wai'sao'miao 红外扫描
'hong'xin 红心
'hong'ye'bing 红叶病
'hong'yuan'jie 红圆蚧
'hong'zhou'ci'zuo'mei'gan'fu'bing 红周刺座霉干腐病
'hong'zong'hui'ye'e 红棕灰夜蛾
'hou'bu'zhong'yang'wei'yuan 候补中央委员
'hou'cha 后茬
'hou'chi 后翅
'hou'chuang'bo'li 后窗玻璃
'hou'chuo'ming 后辍名
'hou'ke 厚壳
'hou'long 喉咙
'hou'lun 后轮
'hou'mian'bao'shu 猴面包树
'hou'pi 厚皮
'hou'shi'jing 后视镜
'hou'tou'jun 猴头菌
'hou'ya 后牙
'hou'zi 猴子
'hou'zuo 后座
'hou'zuo'wu 后作物
'hu'ban'bing 虎斑病
'hu'chu 呼出
'hu'cong 胡葱
'hu'die 蝴蝶
'hu'die'hua 蝴蝶花
'hu'die'lan 蝴蝶兰
'hu'feng 胡蜂
'hu'gang'qu 湖港区
'hu'ji'sheng 槲寄生
'hu'jia'cun 胡家村
'hu'jiao 胡椒
'hu'jiao'zhi'ling 呼叫指令
'hu'jin'tao 胡锦涛
'hu'jun 户均
'hu'luo'bo 胡萝卜
'hu'ma'ban'bing 胡麻斑病
'hu'po'se 琥珀色
'hu'ru 呼入
'hu'tao 胡桃
'hu'tian 湖田
'hu'tong 胡同
'hu'wei'cao 虎尾草
'hu'xi'xi'shu 呼吸系数
'hu'yong 户用
'hu'yong'zhao'qi 户用沼气
'hua'ban 花瓣
'hua'bei'lou'gu 华北蝼蛄
'hua'bing 花柄
'hua'chu 化出
'hua'er'bu'shi 花而不实
'hua'er'jie 华尔街
'hua'fei'sa'fei'ji 化肥撒肥机
'hua'fen 花粉
'hua'fen'bu'yu'xing 花粉不育性
'hua'fen'meng'dao 花粉蒙导
'hua'fu'bing 花腐病
'hua'gan'su 化感素
'hua'gu 花谷
'hua'gu'xing 花谷型
'hua'guan 花冠
'hua'he'wu 化合物
'hua'hei'fen'bing 花黑粉病
'hua'hui'zhuang'shi 花卉装饰
'hua'ji'ma 花蓟马
'hua'jiao 滑跤
'hua'jiao'shu 花椒树
'hua'kai 花开
'hua'lang 画廊
'hua'lun 滑轮
'hua'mei 画眉
'hua'mei'cao 画眉草
'hua'mo'yu 花魔芋
'hua'ning 华宁
'hua'ning'xian 华宁县
'hua'nong'die 花弄蝶
'hua'ping 华坪
'hua'ping'xian 华坪县
'hua'po 滑坡
'hua'qiao 花荞
'hua'ru 化入
'hua'shan 花山
'hua'shan'jie 花山节
'hua'shan'song 华山松
'hua'sheng 花生
'hua'sheng'bing'hai 花生病害
'hua'sheng'jiang 花生酱
'hua'sheng'lan'zhong 花生烂种
'hua'sheng'you 花生油
'hua'shi'wen'biao 华氏温标
'hua'shu 花数
'hua'ti 话题
'hua'tong 话筒
'hua'tuo 花托
'hua'xian'zhi'piao 划线支票
'hua'xing 花型
'hua'xing 划行
'hua'xu 花序
'hua'xu 花絮
'hua'xue'fan'ying 化学反应
'hua'xue'fan'ying'chan'wu 化学反应产物
'hua'xue'fei'liao 化学肥料
'hua'xue'gong'cheng 化学工程
'hua'xue'jia 化学家
'hua'xue'you'bian'ji 化学诱变剂
'hua'xue'zhi'liao 化学治疗
'hua'xun'cha 花薰茶
'hua'ya 花芽
'hua'yao 花药
'hua'yao'pei'yang 花药培养
'hua'ye'bing 花叶病
'hua'ye'bing'du'bing 花叶病毒病
'hua'ye'cai 花椰菜
'hua'you 花油
'hua'yuan 花园
'hua'zhuang'shi 化妆师
'huai'ju 坏疽
'huai'si 坏死
'huan'ban 环斑
'huan'ban'bing 环斑病
'huan'ban'bing'du'bing 环斑病毒病
'huan'cha 换茬
'huan'chong'cun'chu'qi 缓冲存储器
'huan'chong'ji'jin 缓冲基金
'huan'deng'pian 幻灯片
'huan'fu'bing 环腐病
'huan'gan'mao 患感冒
'huan'jing'bao'hu 环境保护
'huan'jing'bao'hu'bu 环境保护部
'huan'jing'bao'hu'ju 环境保护局
'huan'jing'you'hao'xing 环境友好型
'huan'man 缓慢
'huan'shi'fei'liao 缓释肥料
'huan'shi'ji 缓释剂
'huan'shui 换水
'huan'tu 换土
'huan'xing'lu 环行路
'huan'ying'hui 欢迎会
'huan'ying'nin 欢迎您
'huan'you 换油
'huan'yuan'ji 还原剂
'huan'yuan'tang 还原糖
'huan'zhong 换种
'huang'ai'bing'du'bing 黄矮病毒病
'huang'ban 黄板
'huang'ban'bing 黄斑病
'huang'ban'chang'fu'ying'ye'jia 黄斑长跗萤叶甲
'huang'ban'ye'ku'bing 黄斑叶枯病
'huang'bo'he'ban'bing 黄柏褐斑病
'huang'cao'wu 黄草乌
'huang'chong 蝗虫
'huang'ci'e 黄刺蛾
'huang'dai'ji'ma 黄呆蓟马
'huang'dan 黄疸
'huang'di 荒地
'huang'di'lao'hu 黄地老虎
'huang'ding'bing 黄顶病
'huang'feng 黄蜂
'huang'feng'die 黄凤蝶
'huang'gong 皇宫
'huang'gua 黄瓜
'huang'gua'hua'ye'bing 黄瓜花叶病
'huang'hua'bing 黄化病
'huang'hua'mu'xu 黄花苜蓿
'huang'hua'yan'cao 黄花烟草
'huang'hua'ye'bing 黄花叶病
'huang'hun'shi 黄昏时
'huang'jin'zhou 黄金周
'huang'jiu 黄酒
'huang'juan'ye'e 黄卷叶蛾
'huang'ke 黄壳
'huang'ke'mai 黄壳麦
'huang'kuan'tiao'cai 黄宽条菜
'huang'long'bing 黄龙病
'huang'lu 黄栌
'huang'lv'miao 黄绿苗
'huang'ma 黄麻
'huang'mao'chong 黄毛虫
'huang'men 黄焖
'huang'miao 黄苗
'huang'ming 黄螟
'huang'pi 黄皮
'huang'pi'shu 黄皮树
'huang'qin 黄芩
'huang'qiu'kui 黄秋葵
'huang'qu'mei'bing 黄曲霉病
'huang'qu'tiao'tiao'jia 黄曲条跳甲
'huang're'bing 黄热病
'huang'se'pian 黄色片
'huang'shu 黄熟
'huang'shu'lang 黄鼠狼
'huang'shui'xian 黄水仙
'huang'tu'po 黄土坡
'huang'wei'bing 黄萎病
'huang'wei'qiu'tiao'jia 黄尾球跳甲
'huang'xia'tiao'tiao'jia 黄狭条跳甲
'huang'xin 黄心
'huang'xing'huang 黄星蝗
'huang'xing'tian'niu 黄星天牛
'huang'xiu'bing 黄锈病
'huang'yang 黄杨
'huang'ye'bing 黄叶病
'huang'yuan 荒原
'huang'zhi'zi'hui'die 黄栀子灰蝶
'huang'zong'rang 黄棕壤
'hui'bai'se 灰白色
'hui'ban'bing 灰斑病
'hui'bian'cheng'xu 汇编程序
'hui'che'deng 会车灯
'hui'dan 会单
'hui'du 灰度
'hui'fei'shi 灰飞虱
'hui'fen 灰粪
'hui'fen'jie 灰粉蚧
'hui'fu'chong'jian 恢复重建
'hui'fu'fei 恢复肥
'hui'fu'xi 恢复系
'hui'gui 回归
'hui'guo'tou 回过头
'hui'he'dian 汇合点
'hui'he'se 灰褐色
'hui'he'yu'e 灰褐羽蛾
'hui'hui 会会
'hui'jiao'dian 会交点
'hui'li 会理
'hui'li'xian 会理县
'hui'lin'kai'huang 毁林开荒
'hui'lu'bing 灰露病
'hui'lv 汇率
'hui'mei'bing 灰霉病
'hui'mo'tu 灰漠土
'hui'ni 灰泥
'hui'piao 汇票
'hui'pu'tao'bao'sui'fu'bing 灰葡萄孢穗腐病
'hui'qi 会期
'hui'se 灰色
'hui'tian'fang 回填方
'hui'tian'fu 汇添富
'hui'tou'kan 回头看
'hui'tou'lang 回头浪
'hui'tu'yuan 绘图员
'hui'xiang 茴香
'hui'yi'kai'mu 会议开幕
'hui'yi'qi'jian 会议期间
'hui'yuan'da'hui 会员大会
'hui'ze 会泽
'hui'ze'xian 会泽县
'hun'he 混合
'hun'he'jing'ji 混合经济
'hun'he'xuan'ze 混合选择
'hun'he'you'chu'li 混合油处理
'hun'lu 混录
'hun'ning'tu'jiao'ban'che 混凝土搅拌车
'hun'pen 混喷
'hun'su 婚俗
'hun'tou 昏头
'hun'xi'pin'zhong 混系品种
'hun'yin'zhuang'kuang 婚姻状况
'hun'yong 混用
'hun'za'tui'hua 混杂退化
'hun'zuo 混作
'huo'ba'jie 火把节
'huo'ban'zi 活扳子
'huo'bi 货币
'huo'dao'fu'kuan 货到付款
'huo'de'mian'yi'xing 获得免疫性
'huo'de'zhe 获得者
'huo'dong'che'peng'qi'che 活动车篷汽车
'huo'dong'wen'du 活动温度
'huo'hua'sai 火花塞
'huo'hui 火灰
'huo'huo'shan 活火山
'huo'ji 火鸡
'huo'jia'qi'yan'chang 货架期延长
'huo'ke 活棵
'huo'li 活力
'huo'luan 霍乱
'huo'luo'ban'shou 活络扳手
'huo'luo'ban'zi 活络扳子
'huo'po 活泼
'huo'pu'jin'sheng'wu'qi'hou'lv 霍普金生物气候律
'huo'sai 活塞
'huo'shan 火山
'huo'tui 火腿
'huo'yun'che 货运车
'huo'yun'ka'che 货运卡车
'ji'ben'fang'wei 基本方位
'ji'ben'jian'she 基本建设
'ji'ben'miao 基本苗
'ji'ben'nong'tian 基本农田
'ji'bing'zhen'duan 疾病诊断
'ji'bo 机播
'ji'cai 荠菜
'ji'cai 蕺菜
'ji'cai'chu 计财处
'ji'cha 机插
'ji'cha 极差
'ji'cha'yuan 稽查员
'ji'chang 鸡场
'ji'cheng'che 计程车
'ji'cheng'dian'lu 集成电路
'ji'cheng'qi'che 计程汽车
'ji'chou 己丑
'ji'chu'gong'zi 基础工资
'ji'chu'she'shi'jian'she 基础设施建设
'ji'cong 鸡枞
'ji'cong'you 鸡枞油
'ji'dai 急待
'ji'di 瘠地
'ji'dian 积淀
'ji'du'jiao 基督教
'ji'du'jiao'jie 基督教界
'ji'e 饥饿
'ji'fen 计分
'ji'feng 姬蜂
'ji'fu'bing 基腐病
'ji'gai 技改
'ji'geng'lu 机耕路
'ji'gu 脊骨
'ji'guan'dang'zhi'bu 机关党支部
'ji'guan'hua 鸡冠花
'ji'guang'wei'shu'fu'zhao 激光微束辐照
'ji'hai 己亥
'ji'he 几何
'ji'he'ping'jun'shu 几何平均数
'ji'hua'bian'zhi 计划编制
'ji'hua'cai'wu'chu 计划财务处
'ji'hua'jing'ji 计划经济
'ji'hua'shu 计划书
'ji'huo'zi 激活子
'ji'jia 几家
'ji'jia'cun 吉家村
'ji'jian'gong'zi 计件工资
'ji'jian'jian'cha 纪检监察
'ji'jie'feng 季节风
'ji'jie'gong 季节工
'ji'jie'zi 鸡街子
'ji'jiu'che 急救车
'ji'jiu'zhan 急救站
'ji'ju'xie 寄居蟹
'ji'ku 极酷
'ji'le'niao 极乐鸟
'ji'lei 积累
'ji'liang 剂量
'ji'liang'ce'ding 剂量测定
'ji'liang'ji 剂量计
'ji'liang'lv 剂量率
'ji'liang'xiao'ying 剂量效应
'ji'lu'pian 纪录片
'ji'lu'qi 记录器
'ji'ma 蓟马
'ji'mao 己卯
'ji'mi 稷米
'ji'nai'chang 挤奶厂
'ji'nai'ji 挤奶机
'ji'nai'qi 挤奶器
'ji'nian'bei 纪念碑
'ji'nian'yan'hui 纪念宴会
'ji'piao 计票
'ji'pu'che 吉普车
'ji'qi'yu'yan 机器语言
'ji'quan 极圈
'ji'she 鸡舍
'ji'sheng'chong 寄生虫
'ji'sheng'feng 寄生蜂
'ji'sheng'wei 计生委
'ji'sheng'xing 寄生性
'ji'shi 记事
'ji'shi 集市
'ji'shi'gong'zi 计时工资
'ji'shu'gong'ren 技术工人
'ji'shu'gu'wen 技术顾问
'ji'shu'lv 计数率
'ji'shu'qi 计数器
'ji'si 己巳
'ji'suan'chi 计算尺
'ji'suan'ji'yu'yan 计算机语言
'ji'suan'qi 计算器
'ji'sui'hui'zhi'yan 脊髓灰质炎
'ji'ti'jing'ji 集体经济
'ji'ti'nong'chang 集体农场
'ji'tian 极甜
'ji'wan 急弯
'ji'wei 己未
'ji'wei'ban 纪委办
'ji'wei'jiu 鸡尾酒
'ji'wei'jiu'hui 鸡尾酒会
'ji'wen 积温
'ji'xie'fang'zhi 机械防治
'ji'xie'gong'cheng'xue 机械工程学
'ji'xie'gu'zhang 机械故障
'ji'xie'hua'geng'zuo 机械化耕作
'ji'xie'hua'zai'pei 机械化栽培
'ji'xie'zuan 机械钻
'ji'xing'du'xing 急性毒性
'ji'xue 积雪
'ji'ya'jia'gong 挤压加工
'ji'yin'ku 基因库
'ji'yin'wen'ku 基因文库
'ji'yin'xing'bu'yu 基因性不育
'ji'yin'yuan 基因源
'ji'ying 寄蝇
'ji'you 己酉
'ji'you'jun 鸡油菌
'ji'yu 鲫鱼
'ji'yue'geng'zuo 集约耕作
'ji'yue'hua 集约化
'ji'yue'nong'ye 集约农业
'ji'zhe 记着
