'a'er'tai'gou'wa'hua 阿尔泰狗哇花
'hang'jian 行间
'hang'jian'ju 行间距
'hang'jian'zhong'geng'ji 行间中耕机
'hang'ju 行距
'hang'kong'xiang'pian 航空相片
'hang'pai 航拍
'hang'shi'nong'ye'ji'chu 夯实农业基础
'hang'ye 行业
'hang'ye'jian 行业间
'hao'fei 耗费
'hao'gan'fu'gai 蒿秆覆盖
'hao'gong 毫公
'hao'gong'xing 毫公型
'hao'hua'qiao'che 豪华桥车
'hao'lai'shi 好来施
'hao'li'da 好立达
'hao'mi 毫米
'hao'mie'dan 好灭丹
'hao'nian'dong 好年冬
'hao'ping 好评
'hao'qi'xing 好气性
'hao'ren'zhu'yi 好人主义
'hao'shui 耗水
'hao'shui'liang 耗水量
'hao'tu'jing 好途径
'hao'wai 号外
'hao'wei'feng 郝伟凤
'hao'wei'miao 毫微秒
'hao'yi'jing 好易净
'hao'zhao 号召
'hao'zhu 豪猪
'he'ai'shi 禾爱施
'he'an 河岸
'he'ba 河坝
'he'ba'yang'yu 河坝洋芋
'he'bai'ling 禾拜灵
'he'ban'bing 褐斑病
'he'bang'xiang'zheng'yu'weng'de'li 鹤蚌相争渔翁得利
'he'bao'dan 荷包蛋
'he'bao'mu'dan 荷包牡丹
'he'ben'dou'hao 禾本豆好
'he'ben'ke 禾本科
'he'ben'ke'lv'fei 禾本科绿肥
'he'bian'lv'ci'e 褐边绿刺蛾
'he'bian'ming 褐边螟
'he'bing'zhai'wu 合并债务
'he'cao'dan 禾草丹
'he'cao'ke 禾草克
'he'cao'ling 禾草灵
'he'cao'qing 禾草清
'he'cao'te 禾草特
'he'cao'wei 禾草畏
'he'cheng'kong'jing'lei'da 合成孔径雷达
'he'cheng'wu 合成物
'he'cheng'zuo'yong 合成作用
'he'chuang 河床
'he'ci'gong'zhen 核磁共振
'he'da'zhuang 禾大壮
'he'dao 河道
'he'de'huan 何德焕
'he'dian'dun'jie 褐点盾蚧
'he'fa'hun'yin 合法婚姻
'he'fei'shi 褐飞虱
'he'fu'mi'ding 何弗米丁
'he'gan'suan 核苷酸
'he'ge'yang'pin 合格样品
'he'gu 河谷
'he'gu'bao'nang'xian'chong'bing 禾谷胞囊线虫病
'he'gu'lian'dao'jun'bing 禾谷镰刀菌病
'he'guo'li 禾果利
'he'guo'qiang 贺国强
'he'hong'se 褐红色
'he'ji 合计
'he'ji'ma 禾蓟马
'he'ji'mian'ji 合计面积
'he'ji'shu 核技术
'he'jin 合金
'he'ke 禾克
'he'kou 河口
'he'kou'xian 河口县
'he'ku'ling 禾枯灵
'he'kun 禾捆
'he'kun'dui 禾捆堆
'he'lan'dou 荷兰豆
'he'lan'ju 荷兰菊
'he'lan'lu'sen'gong'si 荷兰路森公司
'he'li 合理
'he'li 河狸
'he'li'mi'zhi 合理密植
'he'li'you'xu'liu'dong 合理有序流动
'he'lie'bian 核裂变
'he'liu'duan'mian 河流断面
'he'ma 河马
'he'men'kou 河门口
'he'nai'si 禾耐斯
'he'nan'cai'jing'xue'yuan 河南财经学院
'he'nan'qing'gong'ye'xue'yuan 河南轻工业学院
'he'neng'ji 核能级
'he'ni 河泥
'he'nong'si 禾农思
'he'nong'ye'bao 合农业报
'he'nong'ye'fa 合农业发
'he'pan'jun'jing'fu'bing 核盘菌茎腐病
'he'pu 合浦
'he'pu'jiang'dou 合浦豇豆
'he'pu'si'chou'zhi'lu 合浦丝绸之路
'he'pu'te'se 合浦特色
'he'pu'xian 合浦县
'he'pu'xian'chang'le'zhen 合浦县常乐镇
'he'pu'xian'fu'lian 合浦县妇联
'he'pu'xian'guo'jia'xian'dai'nong'ye'shi'fan'qu 合浦县国家现代农业示范区
'he'pu'xian'nong'ye'ju 合浦县农业局
'he'qu 河曲
'he'rong'jie 核溶解
'he'ru'jiao 核乳胶
'he'se 褐色
'he'sha 河沙
'he'sha'wei 合杀威
'he'shang'zhuang 和尚庄
'he'shi'feng'xian 何氏凤仙
'he'shui'meng'zhang 河水猛涨
'he'suan'mei 核酸酶
'he'sui'ning 和穗宁
'he'sui'ning 禾穗宁
'he'tan'di 河滩地
'he'tao 核桃
'he'tao'shu 核桃树
'he'tian'niu 褐天牛
'he'tu 褐土
'he'tun 河豚
'he'wei 禾畏
'he'wen'jin'zhen'chong 褐纹金针虫
'he'xi 合系
'he'xiao'mei 何小梅
'he'xie'she'hui 和谐社会
'he'xie'she'hui'jian'she 和谐社会建设
'he'xin 核心
'he'xin'jia'ting 核心家庭
'he'xin'jing'qu 核心景区
'he'xin'qu 核心区
'he'xin'shi'fan'qu 核心示范区
'he'xiong'xing'bu'yu'xi 核雄性不育系
'he'yi'zhi 核移植
'he'ying'jiao 何英交
'he'yu'yan 褐雨燕
'he'yuan'hu 河源湖
'he'zhi'hu'zuo 核质互作
'he'zhi'lian 何智莲
'he'zi'liu'e 诃子瘤蛾
'he'zuo 合作
'he'zuo'nong'chang 合作农场
'he'zuo'yi'liao 合作医疗
'he'zuo'yu'jiao'liu 合作与交流
'he'zuo'zhe 合作者
'hei'ba'bing 黑疤病
'hei'ban'bing 黑斑病
'hei'cha 黑茶
'hei'chi'tu'bai'yi 黑翅土白蚁
'hei'ci'fen'shi 黑刺粉虱
'hei'ci'li 黑刺李
'hei'cong'hua'mei'gen'fu'bing 黑葱花霉根腐病
'hei'dian'yin'wen'ye'e 黑点银纹夜蛾
'hei'dou'bing 黑痘病
'hei'e'guang'ye'jia 黑额光叶甲
'hei'fen'bing 黑粉病
'hei'fen'jun 黑粉菌
'hei'fen'shi 黑粉虱
'hei'feng'ye'jia 黑缝叶甲
'hei'fu'bing 黑腐病
'hei'gen 黑根
'hei'gu 黑谷
'hei'gu'xing 黑谷型
'hei'hu 黑虎
'hei'jie'bing 黑节病
'hei'jing'bing 黑胫病
'hei'long'jiang'jian'hui'xiang 黑龙江简喙象
'hei'mai 黑麦
'hei'mei 黑莓
'hei'mu'er 黑木耳
'hei'pi'du 黑皮蠹
'hei'qian'ying 黑潜蝇
'hei'qu'mei'bing 黑曲霉病
'hei'rong'jin'gui 黑绒金龟
'hei'se'zhe'gui 黑色蔗龟
'hei'shan'yang 黑山羊
'hei'shi 黑市
'hei'shu 黑薯
'hei'shu'bing 黑束病
'hei'sui'bing 黑穗病
'hei'tiao'ai'suo'bing 黑条矮缩病
'hei'tu'bao 黑土宝
'hei'wei'ye'chan 黑尾叶蝉
'hei'wen'fen'die 黑纹粉蝶
'hei'xin'bing 黑心病
'hei'xing'xing 黑猩猩
'hei'yan'jing 黑眼睛
'hei'yi 黑彝
'hei'yi'zu 黑彝族
'hei'ying'bing 黑颖病
'hei'yu 黑鱼
'hei'yuan 黑鸢
'hei'zhi'bing 黑痣病
'hei'zu'hei'shou'gua 黑足黑守瓜
'hen'da 很大
'hen'da'cheng'du'shang 很大程度上
'hen'gao'de'ping'jia 很高的评价
'hen'kuai 很快
'hen'xia'gong'fu 狠下功夫
'hen'zhong'yao 很重要
'hen'zhua'cuo'shi'de'luo'shi 狠抓措施的落实
'hen'zhua'luo'shi 狠抓落实
'heng'jing 横径
'heng'shi'zhao'pian 横式照片
'heng'wen'cai'chun 横纹菜蝽
'hong'ai'bing'du'bing 红矮病毒病
'hong'ban'bing 红斑病
'hong'bei'an'yuan'chun 红背安缘蝽
'hong'cha 红茶
'hong'cheng 宏成
'hong'cheng 红橙
'hong'cu'li 红醋栗
'hong'dan 红单
'hong'de 洪德
'hong'dong 轰动
'hong'dou'shan 红豆杉
'hong'dou'yue'ju 红豆越桔
'hong'fen'jie 红粉蚧
'hong'gan 烘干
'hong'he 红河
'hong'he'ha'ni'zu'yi'zu'zi'zhi'zhou 红河哈尼族彝族自治州
'hong'he'se 红褐色
'hong'he'xian 红河县
'hong'he'zhou 红河州
'hong'hong'lie'lie 轰轰烈烈
'hong'hua'cai'dou 红花菜豆
'hong'hua'shi'ying 红花实蝇
'hong'hua'zi'you 红花籽油
'hong'hua'zuo'jiang'cao 红花酢浆草
'hong'la'jie 红蜡蚧
'hong'la'jie 红蜡阶
'hong'lao 洪涝
'hong'lao'zai'hai 洪涝灾害
'hong'li 红利
'hong'lin 洪林
'hong'ling'chong'xing'you'su 红铃虫性诱素
'hong'luo'you 红螺疣
'hong'lv'deng 红绿灯
'hong'lv'deng'e 红绿灯峨
'hong'ma 红麻
'hong'pi 红皮
'hong'pu'tao'jiu 红葡萄酒
'hong'qing 烘青
'hong'rang 红壤
'hong'se'gen'fu'bing 红色根腐病
'hong'se'yuan'xing'biao'zhi'pai 红色圆形标志牌
'hong'shan 红杉
'hong'shu 红树
'hong'shu 红薯
'hong'shu'bo'zhong'mian'ji 红薯播种面积
'hong'shui 洪水
'hong'sun 红隼
'hong'ta 红塔
'hong'ta'qu 红塔区
'hong'wai'sao'miao 红外扫描
'hong'xin 红心
'hong'ye'bing 红叶病
'hong'yu 宏裕
'hong'yu'ling 宏裕灵
'hong'yu'xing 宏裕星
'hong'yuan'jie 红圆蚧
'hong'zao 红枣
'hong'zhou'ci'zuo'mei'gan'fu'bing 红周刺座霉干腐病
'hong'zong'hui'ye'e 红棕灰夜蛾
'hou'bao'lun'zhi'jun 厚孢轮枝菌
'hou'bu'zhong'yang'wei'yuan 候补中央委员
'hou'cha 后茬
'hou'chi 后翅
'hou'chuang'bo'li 后窗玻璃
'hou'chuo'ming 后辍名
'hou'ke 厚壳
'hou'long 喉咙
'hou'lun 后轮
'hou'mian'bao'shu 猴面包树
'hou'pi 厚皮
'hou'shi'jing 后视镜
'hou'tou'gu 猴头菇
'hou'tou'jun 猴头菌
'hou'ya 后牙
'hou'zi 猴子
'hou'zuo 后座
'hou'zuo'wu 后作物
'hu'ban'bing 虎斑病
'hu'chu 呼出
'hu'cong 胡葱
'hu'die 蝴蝶
'hu'die'hua 蝴蝶花
'hu'die'lan 蝴蝶兰
'hu'feng 胡蜂
'hu'feng'an 护丰安
'hu'gang'qu 湖港区
'hu'ji'sheng 槲寄生
'hu'jia'cun 胡家村
'hu'jiao 胡椒
'hu'jiao'fei'suan'tong 琥胶肥酸铜
'hu'jiao'jian 胡椒硷
'hu'jiao'zhi'ling 呼叫指令
'hu'jin'tao 胡锦涛
'hu'jin'tao'zong'shu'ji 胡锦涛总书记
'hu'jun 户均
'hu'li'pi 狐狸皮
'hu'luo'bo 胡萝卜
'hu'ma'ban'bing 胡麻斑病
'hu'nan'chang'sha 湖南长沙
'hu'nong'min 户农民
'hu'po'se 琥珀色
'hu'po'suan'tong 琥珀酸铜
'hu'ru 呼入
'hu'tao 胡桃
'hu'tian 湖田
'hu'tong 胡同
'hu'wei 虎威
'hu'wei'cao 虎尾草
'hu'xi'de 护矽得
'hu'xi'xi'shu 呼吸系数
'hu'xiang'xie'tiao 互相协调
'hu'yong 户用
'hu'yong'zhao'qi 户用沼气
'hu'yu'nuo 沪玉糯
'hua'ban 花瓣
'hua'bei'lou'gu 华北蝼蛄
'hua'bing 花柄
'hua'cai'lei 花菜类
'hua'cao'pen'jing 花草盆景
'hua'cha 花茶
'hua'chu 化出
'hua'er'bu'shi 花而不实
'hua'er'jie 华尔街
'hua'fei 化肥
'hua'fei'sa'fei'ji 化肥撒肥机
'hua'fei'shi'chang 化肥市场
'hua'fen 花粉
'hua'fen'biao'zhun 划分标准
'hua'fen'bu'yu'xing 花粉不育性
'hua'fen'meng'dao 花粉蒙导
'hua'fu'bing 花腐病
'hua'gan'su 化感素
'hua'gu 花谷
'hua'gu'xing 花谷型
'hua'guan 花冠
'hua'guang'mei'su 华光霉素
'hua'guang'xing 花光兴
'hua'he'wu 化合物
'hua'hei'fen'bing 花黑粉病
'hua'hui 花卉
'hua'hui'chan'ye 花卉产业
'hua'hui'gong 花会功
'hua'hui'zhong'zi 花卉种子
'hua'hui'zhuang'shi 花卉装饰
'hua'ji'ma 花蓟马
'hua'jia 花架
'hua'jiao 滑跤
'hua'jiao'shu 花椒树
'hua'kai 花开
'hua'lang 画廊
'hua'lun 滑轮
'hua'mei 画眉
'hua'mei'cao 画眉草
'hua'mo'yu 花魔芋
'hua'nong'die 花弄蝶
'hua'pen'rong'qi 花盆容器
'hua'po 滑坡
'hua'qiao 花荞
'hua'ru 化入
'hua'shan 花山
'hua'shan'jie 花山节
'hua'shan'song 华山松
'hua'sheng 花生
'hua'sheng'biao'zhun'hua 花生标准化
'hua'sheng'bing'hai 花生病害
'hua'sheng'chan'ye 花生产业
'hua'sheng'gao'chan'chuang'jian 花生高产创建
'hua'sheng'jiang 花生酱
'hua'sheng'lan'zhong 花生烂种
'hua'sheng'pin'zhong'zhan'shi'shi'fan 花生品种展示示范
'hua'sheng'sheng'chan 花生生产
'hua'sheng'wu'gong'hai'zai'pei 花生无公害栽培
'hua'sheng'you 花生油
'hua'sheng'zhong'zhi'mian'ji 花生种植面积
'hua'shi'wen'biao 华氏温标
'hua'shu 花数
'hua'si 花丝
'hua'ti 话题
'hua'tong 话筒
'hua'tuo 花托
'hua'xian'zhi'piao 划线支票
'hua'xing 划行
'hua'xing 花型
'hua'xu 花序
'hua'xu 花絮
'hua'xue'fan'ying 化学反应
'hua'xue'fan'ying'chan'wu 化学反应产物
'hua'xue'fei'liao 化学肥料
'hua'xue'gong'cheng 化学工程
'hua'xue'jia 化学家
'hua'xue'you'bian'ji 化学诱变剂
'hua'xue'zhi'liao 化学治疗
'hua'xun'cha 花薰茶
'hua'ya 花芽
'hua'yan'shi 化验室
'hua'yao 花药
'hua'yao'pei'yang 花药培养
'hua'ye'bing 花叶病
'hua'ye'bing'du'bing 花叶病毒病
'hua'ye'cai 花椰菜
'hua'you 花油
'hua'yu'xue'yuan 华豫学院
'hua'yuan 花园
'hua'zhuang'shi 化妆师
'huai'ju 坏疽
'huai'si 坏死
'huan'ban 环斑
'huan'ban'bing 环斑病
'huan'ban'bing'du'bing 环斑病毒病
'huan'bao'zhi'bao 环保植保
'huan'bao'zhi'bao'zong'he'fang'zhi 环保植保综合防治
'huan'bao'zhi'bao'zong'he'fang'zhi'ji'shu 环保植保综合防治技术
'huan'bing'jin 环丙津
'huan'bing'lv 患病率
'huan'bing'zuo'chun 环丙唑醇
'huan'cao'an 环草胺
'huan'cao'dan 环草丹
'huan'cao'te 环草特
'huan'cha 换茬
'huan'cheng 环城
'huan'chong'cun'chu'qi 缓冲存储器
'huan'chong'ji'jin 缓冲基金
'huan'deng'pian 幻灯片
'huan'fu'bing 环腐病
'huan'gan'mao 患感冒
'huan'ji'ji'jia'suan'xin 环己基甲酸锌
'huan'jie'le 缓解了
'huan'jing'bao'hu 环境保护
'huan'jing'bao'hu'bu 环境保护部
'huan'jing'bao'hu'ju 环境保护局
'huan'jing'biao'zhun 环境标准
'huan'jing'can'shu 环境参数
'huan'jing'du'xing 环境毒性
'huan'jing'jing'ji'tong'ji 环境经济统计
'huan'jing'mo'ni 环境模拟
'huan'jing'wei'hai 环境危害
'huan'jing'you'hao'xing 环境友好型
'huan'jing'zhun'ze 环境准则
'huan'ju'zhi 环菊酯
'huan'jun'an 环菌胺
'huan'man 缓慢
'huan'qiang'man 环羟螨
'huan'qin'tong 环嗪酮
'huan'shan'gou 环山沟
'huan'shi'fei'liao 缓释肥料
'huan'shi'ji 缓释剂
'huan'shui 换水
'huan'suan'zhou'zhuan'liang 换算周转量
'huan'tian 还田
'huan'tian'gou 环田沟
'huan'tian'mian'ji 还田面积
'huan'tian'mo'shi 还田模式
'huan'tian'mo'shi'qing'kuang 还田模式情况
'huan'tian'qing'kuang 还田情况
'huan'tu 换土
'huan'xi 环烯
'huan'xing'lu 环行路
'huan'ying'hui 欢迎会
'huan'ying'nin 欢迎您
'huan'you 换油
'huan'yuan'ji 还原剂
'huan'yuan'tang 还原糖
'huan'zhong 换种
'huan'zuo'chun 环唑醇
'huang'ai'bing'du'bing 黄矮病毒病
'huang'bai'he'ban'bing 黄柏褐斑病
'huang'ban 黄板
'huang'ban'bing 黄斑病
'huang'ban'chang'fu'ying'ye'jia 黄斑长跗萤叶甲
'huang'ban'ye'ku'bing 黄斑叶枯病
'huang'ben'jing 磺苯腈
'huang'cao'fu 黄草伏
'huang'cao'lin 磺草磷
'huang'cao'ling 磺草灵
'huang'cao'tong 磺草酮
'huang'cao'wu 黄草乌
'huang'cha 黄茶
'huang'chong 蝗虫
'huang'ci'e 黄刺蛾
'huang'ci'gui 黄赐贵
'huang'dai'ji'ma 黄呆蓟马
'huang'dan 黄疸
'huang'di 荒地
'huang'di'lao'hu 黄地老虎
'huang'ding'bing 黄顶病
'huang'feng 黄蜂
'huang'feng'die 黄凤蝶
'huang'feng'ji 黄凤基
'huang'fu'suan 黄腐酸
'huang'gong 皇宫
'huang'gua 黄瓜
'huang'gua'hua'ye'bing 黄瓜花叶病
'huang'hai'mei 黄海梅
'huang'hong'ben 黄宏本
'huang'hong'ma'ji'shu'tui'guang'zhan 黄红麻技术推广站
'huang'hong'ma'zhong'zhi'mian'ji 黄红麻种植面积
'huang'hou 皇后
'huang'hou'cun 皇后村
'huang'hua 黄华
'huang'hua'bing 黄化病
'huang'hua'mu'xu 黄花苜蓿
'huang'hua'yan'cao 黄花烟草
'huang'hua'ye'bing 黄花叶病
'huang'hui'min 黄惠民
'huang'hun'shi 黄昏时
'huang'jian'ai 黄坚爱
'huang'jin'shi'ke 黄金时刻
'huang'jin'zhou 黄金周
'huang'jing'jiu 黄镜玖
'huang'jiu 黄酒
'huang'juan'ye'e 黄卷叶蛾
'huang'jun'an 磺菌胺
'huang'jun'wei 磺菌威
'huang'kai'fu 黄开甫
'huang'ke 黄壳
'huang'ke'mai 黄壳麦
'huang'kuan'tiao'cai 黄宽条菜
'huang'li 黄莉
'huang'li'dao 黄礼道
'huang'long'bing 黄龙病
'huang'lu 黄栌
'huang'lv'miao 黄绿苗
'huang'ma 黄麻
'huang'ma'zhan 黄麻站
'huang'mao'chong 黄毛虫
'huang'men 黄焖
'huang'miao 黄苗
'huang'ming 黄螟
'huang'mo'hua 荒漠化
'huang'pi 黄皮
'huang'pi'shu 黄皮树
'huang'ping 黄平
'huang'qin 黄芩
'huang'qiu'kui 黄秋葵
'huang'qu'mei'bing 黄曲霉病
'huang'qu'tiao'tiao'jia 黄曲条跳甲
'huang'qun'ji 黄群基
'huang're'bing 黄热病
'huang'se'pian 黄色片
'huang'shi'ji 黄世继
'huang'shi'yu 黄示瑜
'huang'shu 黄熟
'huang'shu'lang 黄鼠狼
'huang'shui'xian 黄水仙
'huang'tu'po 黄土坡
'huang'wei'bing 黄萎病
'huang'wei'qiu'tiao'jia 黄尾球跳甲
'huang'xi'lin 磺吸磷
'huang'xia'tiao'tiao'jia 黄狭条跳甲
'huang'xiang'rong 黄向荣
'huang'xin 黄心
'huang'xin'zhang 黄信章
'huang'xing'huang 黄星蝗
'huang'xing'tian'niu 黄星天牛
'huang'xiu'bing 黄锈病
'huang'xun'shuo 黄训硕
'huang'xun'yi 黄训颐
'huang'yang 黄杨
'huang'yao'feng 黄耀锋
'huang'ye'bing 黄叶病
'huang'you'ying 黄有英
'huang'yuan 荒原
'huang'zhi'zi'hui'die 黄栀子灰蝶
'huang'zi'qian 黄子乾
'huang'zong'rang 黄棕壤
'hui'bai'se 灰白色
'hui'ban'bing 灰斑病
'hui'bao'ru'xia 汇报如下
'hui'bian'cheng'xu 汇编程序
'hui'cao 毁草
'hui'che'deng 会车灯
'hui'dan 会单
'hui'dou'ke 汇豆克
'hui'du 灰度
'hui'fei'shi 灰飞虱
'hui'fen 灰粪
'hui'fen'jie 灰粉蚧
'hui'feng'sha'di 辉丰杀敌
'hui'feng'yi'hao 辉丰一号
'hui'fu'chong'jian 恢复重建
'hui'fu'fei 恢复肥
'hui'fu'xi 恢复系
'hui'gu 回顾
'hui'gui 回归
'hui'gui'fen'xi 回归分析
'hui'gui'yu'ce 回归预测
'hui'guo'tou 回过头
'hui'hao'su 茴蒿素
'hui'he'dian 汇合点
'hui'he'se 灰褐色
'hui'he'yu'e 灰褐羽蛾
'hui'hui 会会
'hui'jiao'dian 会交点
'hui'li 会理
'hui'li'xian 会理县
'hui'lin'kai'huang 毁林开荒
'hui'lu'bing 灰露病
'hui'lv 汇率
'hui'mei'bing 灰霉病
'hui'mo'tu 灰漠土
'hui'ni 灰泥
'hui'piao 汇票
'hui'pu'tao'bao'sui'fu'bing 灰葡萄孢穗腐病
'hui'qi 会期
'hui'se 灰色
'hui'shu'hua 灰树花
'hui'tian'fang 回填方
'hui'tian'fu 汇添富
'hui'tou'kan 回头看
'hui'tou'lang 回头浪
'hui'tu'yuan 绘图员
'hui'xiang 茴香
'hui'yi 会议
'hui'yi'jing'shen 会议精神
'hui'yi'jue'ding 会议决定
'hui'yi'kai'mu 会议开幕
'hui'yi'qi'jian 会议期间
'hui'yuan'da'hui 会员大会
'hui'ze 会泽
'hui'ze'xian 会泽县
'hui'zong 汇总
'hui'zong'hou 汇总后
'hun'he 混合
'hun'he'an'ji'suan'mei 混合氨基酸镁
'hun'he'an'ji'suan'meng 混合氨基酸锰
'hun'he'an'ji'suan'tong 混合氨基酸铜
'hun'he'an'ji'suan'xin 混合氨基酸锌
'hun'he'jing'ji 混合经济
'hun'he'xuan'ze 混合选择
'hun'he'you'chu'li 混合油处理
'hun'he'zhi'fang'suan 混合脂肪酸
'hun'lu 混录
'hun'mie'wei 混灭威
'hun'ning'tu'jiao'ban'che 混凝土搅拌车
'hun'pen 混喷
'hun'sha'liu 混杀硫
'hun'sha'wei 混杀威
'hun'su 婚俗
'hun'tou 昏头
'hun'xi'pin'zhong 混系品种
'hun'yin'zhuang'kuang 婚姻状况
'hun'yong 混用
'hun'za'tui'hua 混杂退化
'hun'zuo 混作
'huo'ba'jie 火把节
'huo'ban'zi 活扳子
'huo'bi 货币
'huo'bi'gou'mai'li'zhi'shu 货币购买力指数
'huo'chu 火锄
'huo'dao'fu'kuan 货到付款
'huo'de'de 获得的
'huo'de'le 获得了
'huo'de'mian'yi'xing 获得免疫性
'huo'de'zhe 获得者
'huo'dong 活动
'huo'dong'che'peng'qi'che 活动车篷汽车
'huo'dong'fang'an 活动方案
'huo'dong'jing'shen 活动精神
'huo'dong'kai'zhan 活动开展
'huo'dong'wen'du 活动温度
'huo'dong'zhu'yao'shi 活动主要是
'huo'hua'sai 火花塞
'huo'hui 火灰
'huo'huo'shan 活火山
'huo'ji 火鸡
'huo'jia'qi'yan'chang 货架期延长
'huo'ke 活棵
'huo'li 活力
'huo'luan 霍乱
'huo'luo'ban'shou 活络扳手
'huo'luo'ban'zi 活络扳子
'huo'po 活泼
'huo'pu'jin'sheng'wu'qi'hou'lv 霍普金生物气候律
'huo'sai 活塞
'huo'shan 火山
'huo'tui 火腿
'huo'wu'yun'shu'liang 货物运输量
'huo'wu'zhou'zhuan'liang 货物周转量
'huo'yuan'jin'zhang 货源紧张
'huo'yun'che 货运车
'huo'yun'ka'che 货运卡车
'huo'zhi'jie 或直接
'ji'ben 基本
'ji'ben'chi'ping 基本持平
'ji'ben'fang'wei 基本方位
'ji'ben'jian'she 基本建设
'ji'ben'jian'she'gui'mo'ping'heng'biao 基本建设规模平衡表
'ji'ben'jian'she'tou'zi'jia'ge'zhi'shu 基本建设投资价格指数
'ji'ben'jian'she'tou'zi'wan'cheng'e 基本建设投资完成额
'ji'ben'jian'she'tou'zi'wu'liang'zhi'shu 基本建设投资物量指数
'ji'ben'jian'she'xiang'mu'an'guan'li'xi'tong'fen'zu 基本建设项目按管理系统分组
'ji'ben'jian'she'xiang'mu'an'jian'she'gui'mo'fen'zu 基本建设项目按建设规模分组
'ji'ben'jian'she'xiang'mu'an'jian'she'xing'zhi'fen'zu 基本建设项目按建设性质分组
'ji'ben'jian'she'xiang'mu'an'li'shu'guan'xi'fen'zu 基本建设项目按隶属关系分组
'ji'ben'miao 基本苗
'ji'ben'nong'tian 基本农田
'ji'ben'shang 基本上
'ji'bing'zhen'duan 疾病诊断
'ji'bo 机播
'ji'cai 荠菜
'ji'cai 蕺菜
'ji'cai'chu 计财处
'ji'cai'gu 计财股
'ji'ceng'qing'kuang'bu'ming 基层情况不明
'ji'ceng'zu'zhi'jian'she 基层组织建设
'ji'cha 机插
'ji'cha 极差
'ji'cha 级差
'ji'cha'tu'di'shou'ru 级差土地收入
'ji'cha'yuan 稽查员
'ji'chang 鸡场
'ji'cheng'che 计程车
'ji'cheng'dian'lu 集成电路
'ji'cheng'qi'che 计程汽车
'ji'chou 己丑
'ji'chu 基础
'ji'chu'gong'zi 基础工资
'ji'chu'she'shi 基础设施
'ji'chu'she'shi'jian'she 基础设施建设
'ji'dai 急待
'ji'dan 吉单
'ji'di 基地
'ji'di 瘠地
'ji'di'hua'sheng'chan 基地化生产
'ji'di'jian'she 基地建设
'ji'di'jian'she'zong'jie 基地建设总结
'ji'di'sheng'chan'guan'li'shui'ping 基地生产管理水平
'ji'dian 基点
'ji'dian 机电
'ji'dian 积淀
'ji'dian'gong'cheng'xue'yuan 机电工程学院
'ji'ding'ju'tang 几丁聚糖
'ji'dong'su 激动素
'ji'du'jiao 基督教
'ji'du'jiao'jie 基督教界
'ji'e 饥饿
'ji'fen 计分
'ji'fen 鸡粪
'ji'feng 姬蜂
'ji'fu'bing 基腐病
'ji'gai 技改
'ji'geng'lu 机耕路
'ji'gou 机构
'ji'gu 脊骨
'ji'guan'dang'yuan'gan'bu'lian'xi'ji'ceng'zhi'du 机关党员干部联系基层制度
'ji'guan'dang'zhi'bu 机关党支部
'ji'guan'gong'zuo'zuo'feng 机关工作作风
'ji'guan'hua 鸡冠花
'ji'guang'wei'shu'fu'zhao 激光微束辐照
'ji'hai 己亥
'ji'he 几何
'ji'he'ping'jun'shu 几何平均数
'ji'hua 计划
'ji'hua'bian'zhi 计划编制
'ji'hua'cai'wu'chu 计划财务处
'ji'hua'chou'jian 计划抽检
'ji'hua'gai'liang'mian'ji 计划改良面积
'ji'hua'jing'ji 计划经济
'ji'hua'nian'jian'shi'jian 计划年检时间
'ji'hua'pei'xun 计划培训
'ji'hua'pei'xun'nong'min'ren'shu 计划培训农民人数
'ji'hua'sheng'yu'lv 计划生育率
'ji'hua'shu 计划书
'ji'hua'yu'fang'wei'xiu'zhi 计划预防维修制
'ji'hui 机会
'ji'huo'zi 激活子
'ji'ji'fa'zhan 积极发展
'ji'ji'kai'zhan 积极开展
'ji'ji'luo'shi 积极落实
'ji'ji'tou'shen 积极投身
'ji'ji'tui'jin 积极推进
'ji'ji'xie'zhu 积极协助
'ji'ji'xing 积极性
'ji'ji'xing'dong 积极行动
'ji'ji'xing'jiao'gao 积极性较高
'ji'ji'zu'zhi'kai'zhan 积极组织开展
'ji'ji'zuo'hao 积极做好
'ji'jia 几家
'ji'jia'cun 吉家村
'ji'jian'gong'zi 计件工资
'ji'jian'jian'cha 纪检监察
'ji'jian'tong'ji 基建统计
'ji'jie 季节
'ji'jie'bao'gong 季节包工
'ji'jie'bian'dong 季节变动
'ji'jie'feng 季节风
'ji'jie'gong 季节工
'ji'jie'xing'shu'cai 季节性蔬菜
'ji'jie'zi 鸡街子
'ji'jiu'che 急救车
'ji'jiu'zhan 急救站
'ji'ju'xie 寄居蟹
'ji'ku 极酷
'ji'le'niao 极乐鸟
'ji'lei 积累
'ji'lei'lv'zhi'biao 积累率指标
'ji'lei'xiao'yi'xi'shu 积累效益系数
'ji'li'ren'cai 激励人才
'ji'liang 剂量
'ji'liang'ce'ding 剂量测定
'ji'liang'ji 剂量计
'ji'liang'lv 剂量率
'ji'liang'xiao'ying 剂量效应
'ji'lin'sheng'nong'wei 吉林省农委
'ji'lu'pian 纪录片
'ji'lu'qi 记录器
'ji'lv'guan'nian 纪律观念
'ji'ma 蓟马
'ji'mao 己卯
'ji'mi 稷米
'ji'mian 冀棉
'ji'nai'chang 挤奶厂
'ji'nai'ji 挤奶机
